feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.003679,0.000305,0.003984,0
1,0.003528,0.000287,0.003815,0
0,0.003742,0.052157,0.055899,0
1,0.003754,0.000287,0.004041,0
0,0.003739,0.054182,0.057921,0
0,0.003731,0.053575,0.057306,0
1,0.003590,0.000000,0.003590,1
0,0.003715,0.052997,0.056712,0
1,0.003889,0.000292,0.004181,0
0,0.003583,0.048357,0.051940,0
1,0.003762,0.000292,0.004054,0
1,0.003929,0.000001,0.003930,1
1,0.003776,0.000286,0.004062,0
0,0.003879,0.052519,0.056398,0
0,0.003696,0.052578,0.056274,0
1,0.003802,0.000310,0.004112,0
1,0.003975,0.000304,0.004279,0
1,0.003647,0.000307,0.003954,0
1,0.003821,0.000292,0.004113,0
1,0.003904,0.000309,0.004213,0
1,0.003872,0.000323,0.004195,0
1,0.003971,0.000299,0.004270,0
0,0.003580,0.050962,0.054542,0
1,0.003623,0.000286,0.003909,0
1,0.003522,0.000285,0.003807,0
1,0.003578,0.000001,0.003579,1
1,0.003703,0.000297,0.004000,0
0,0.003618,0.051306,0.054924,0
0,0.003799,0.055888,0.059687,0
1,0.003712,0.000289,0.004001,0
0,0.003659,0.052221,0.055880,0
0,0.003639,0.053971,0.057610,0
1,0.003709,0.000289,0.003998,0
1,0.003510,0.000293,0.003803,0
0,0.003622,0.051206,0.054828,0
1,0.003630,0.000287,0.003917,0
1,0.003888,0.000306,0.004194,0
1,0.003761,0.000285,0.004046,0
1,0.003726,0.000296,0.004022,0
1,0.003781,0.000282,0.004063,0
0,0.003795,0.054321,0.058116,0
1,0.003863,0.000299,0.004162,0
1,0.003711,0.000293,0.004004,0
1,0.003894,0.000305,0.004199,0
0,0.003640,0.050547,0.054187,0
1,0.003693,0.000001,0.003694,1
1,0.004079,0.000001,0.004080,1
0,0.003807,0.054446,0.058253,0
1,0.003784,0.000289,0.004073,0
0,0.003593,0.050763,0.054356,0
1,0.003945,0.000001,0.003946,1
1,0.003563,0.000284,0.003847,0
1,0.003757,0.000292,0.004049,0
0,0.003760,0.053102,0.056862,0
0,0.003852,0.055484,0.059336,0
0,0.003773,0.055163,0.058936,0
1,0.003793,0.000001,0.003794,1
1,0.003751,0.000311,0.004062,0
0,0.003584,0.050896,0.054480,0
1,0.003596,0.000288,0.003884,0
1,0.003904,0.000324,0.004228,0
1,0.003592,0.000281,0.003873,0
0,0.003697,0.051088,0.054785,0
1,0.003760,0.000289,0.004049,0
1,0.003638,0.000291,0.003929,0
1,0.003713,0.000001,0.003714,1
1,0.003922,0.000287,0.004209,0
1,0.003630,0.000284,0.003914,0
1,0.003563,0.000300,0.003863,0
0,0.003677,0.051469,0.055146,0
1,0.003776,0.000278,0.004054,0
1,0.003614,0.000001,0.003615,1
0,0.003522,0.047375,0.050897,0
0,0.003733,0.055314,0.059047,0
1,0.003758,0.000286,0.004044,0
1,0.003707,0.000278,0.003985,0
1,0.003580,0.000287,0.003867,0
1,0.003727,0.000284,0.004011,0
1,0.003756,0.000001,0.003757,1
1,0.003708,0.000286,0.003994,0
1,0.003662,0.000291,0.003953,0
1,0.003996,0.000001,0.003997,1
0,0.003774,0.052608,0.056382,0
1,0.003688,0.000295,0.003983,0
1,0.003702,0.000309,0.004011,0
0,0.003621,0.051846,0.055467,0
1,0.003769,0.000299,0.004068,0
1,0.003750,0.000287,0.004037,0
1,0.003679,0.000294,0.003973,0
1,0.004218,0.000317,0.004535,0
0,0.003606,0.050721,0.054327,0
1,0.003927,0.000290,0.004217,0
1,0.003598,0.000290,0.003888,0
1,0.003613,0.000299,0.003912,0
1,0.003448,0.000283,0.003731,0
1,0.003716,0.000296,0.004012,0
1,0.003544,0.000293,0.003837,0
1,0.003591,0.000285,0.003876,0
1,0.003681,0.000304,0.003985,0
1,0.003733,0.000300,0.004033,0
