feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.003030,0.000242,0.003272,0
1,0.003073,0.000295,0.003368,0
1,0.003173,0.000001,0.003174,1
0,0.002971,0.031494,0.034465,0
1,0.002996,0.000245,0.003241,0
1,0.002933,0.000251,0.003184,0
0,0.003130,0.036058,0.039188,0
1,0.003017,0.000249,0.003266,0
1,0.002920,0.000238,0.003158,0
1,0.003073,0.000246,0.003319,0
1,0.003155,0.000268,0.003423,0
0,0.003158,0.034680,0.037838,0
1,0.003057,0.000278,0.003335,0
1,0.003161,0.000259,0.003420,0
1,0.003033,0.000001,0.003034,1
1,0.003178,0.000001,0.003179,1
0,0.003161,0.036247,0.039408,0
1,0.003096,0.000247,0.003343,0
1,0.003036,0.000001,0.003037,1
1,0.003092,0.000267,0.003359,0
1,0.003192,0.000245,0.003437,0
0,0.002973,0.033720,0.036693,0
1,0.003126,0.000287,0.003413,0
1,0.003126,0.000244,0.003370,0
0,0.003136,0.035486,0.038622,0
1,0.003125,0.000242,0.003367,0
1,0.003025,0.000240,0.003265,0
1,0.003030,0.000261,0.003291,0
1,0.003106,0.000261,0.003367,0
0,0.003203,0.035949,0.039152,0
0,0.002949,0.033346,0.036295,0
0,0.003003,0.034536,0.037539,0
0,0.003011,0.035079,0.038090,0
1,0.003104,0.000260,0.003364,0
1,0.003104,0.000254,0.003358,0
0,0.003073,0.035028,0.038101,0
1,0.003023,0.000250,0.003273,0
1,0.003127,0.000001,0.003128,1
1,0.003072,0.000001,0.003073,1
1,0.003051,0.000242,0.003293,0
0,0.002902,0.032011,0.034913,0
1,0.003222,0.000261,0.003483,0
1,0.002990,0.000283,0.003273,0
0,0.003309,0.035236,0.038545,0
0,0.003130,0.035280,0.038410,0
1,0.003230,0.000287,0.003517,0
1,0.002963,0.000273,0.003236,0
1,0.002983,0.000241,0.003224,0
1,0.003027,0.000269,0.003296,0
1,0.002951,0.000001,0.002952,1
1,0.003162,0.000258,0.003420,0
1,0.003027,0.000001,0.003028,1
1,0.003042,0.000247,0.003289,0
1,0.003122,0.000271,0.003393,0
1,0.003157,0.000001,0.003158,1
0,0.003053,0.034456,0.037509,0
1,0.003735,0.000273,0.004008,0
0,0.003021,0.034660,0.037681,0
1,0.003038,0.000233,0.003271,0
1,0.003209,0.000262,0.003471,0
1,0.002973,0.000002,0.002975,1
0,0.003108,0.035807,0.038915,0
0,0.003015,0.033987,0.037002,0
1,0.003011,0.000002,0.003013,1
1,0.003004,0.000237,0.003241,0
1,0.003307,0.000259,0.003566,0
0,0.003166,0.033154,0.036320,0
0,0.003251,0.032160,0.035411,0
1,0.003101,0.000295,0.003396,0
1,0.003024,0.000238,0.003262,0
1,0.003244,0.000001,0.003245,1
0,0.003083,0.034905,0.037988,0
0,0.003232,0.035541,0.038773,0
0,0.003295,0.036088,0.039383,0
0,0.003126,0.034908,0.038034,0
0,0.003141,0.036261,0.039402,0
0,0.003344,0.036790,0.040134,0
1,0.003199,0.000270,0.003469,0
0,0.003179,0.035381,0.038560,0
1,0.003160,0.000001,0.003161,1
1,0.003083,0.000282,0.003365,0
1,0.002987,0.000238,0.003225,0
0,0.002999,0.032673,0.035672,0
1,0.003189,0.000002,0.003191,1
1,0.003094,0.000256,0.003350,0
1,0.003034,0.000260,0.003294,0
1,0.003190,0.000002,0.003192,1
1,0.003108,0.000296,0.003404,0
1,0.003241,0.000001,0.003242,1
1,0.003242,0.000001,0.003243,1
1,0.003080,0.000270,0.003350,0
0,0.003195,0.036651,0.039846,0
1,0.003071,0.000001,0.003072,1
0,0.003262,0.036571,0.039833,0
1,0.003080,0.000259,0.003339,0
1,0.003122,0.000249,0.003371,0
0,0.003102,0.035345,0.038447,0
0,0.003037,0.034916,0.037953,0
1,0.003148,0.000245,0.003393,0
0,0.003316,0.033099,0.036415,0
