feasible,beginning_to_start,start_to_solution,total,zero_solution
0,0.113804,62.786267,62.900071,0
1,0.107004,0.000005,0.107009,1
1,0.114035,0.033329,0.147364,0
1,0.108873,0.034437,0.143310,0
1,0.119389,0.000005,0.119394,1
1,0.106798,0.035565,0.142363,0
0,0.107838,64.746504,64.854342,0
0,0.112221,63.683163,63.795384,0
1,0.110505,0.034131,0.144636,0
1,0.110359,0.033546,0.143905,0
1,0.102946,0.033091,0.136037,0
0,0.106241,62.555473,62.661714,0
0,0.109410,63.239242,63.348652,0
1,0.103917,0.033839,0.137756,0
1,0.106881,0.032262,0.139143,0
0,0.115140,66.314768,66.429908,0
0,0.108202,64.310261,64.418463,0
1,0.117078,0.030865,0.147943,0
1,0.108426,0.035360,0.143786,0
1,0.110788,0.032899,0.143687,0
0,0.111548,64.200312,64.311860,0
1,0.109511,0.000006,0.109517,1
0,0.107638,64.179552,64.287190,0
0,0.106588,62.456123,62.562711,0
1,0.110863,0.029697,0.140560,0
0,0.107372,64.696930,64.804302,0
1,0.109782,0.000005,0.109787,1
0,0.113001,64.419906,64.532907,0
1,0.112684,0.031028,0.143712,0
0,0.112023,63.652287,63.764310,0
0,0.120611,64.815169,64.935780,0
1,0.111073,0.034270,0.145343,0
1,0.105991,0.000005,0.105996,1
0,0.107323,65.367304,65.474627,0
1,0.112532,0.000008,0.112540,1
1,0.107645,0.034904,0.142549,0
0,0.107757,65.100356,65.208113,0
1,0.115598,0.042838,0.158436,0
1,0.109620,0.034417,0.144037,0
0,0.118280,64.477447,64.595727,0
1,0.113087,0.036819,0.149906,0
0,0.105140,65.475030,65.580170,0
0,0.122619,65.014065,65.136684,0
1,0.105932,0.000005,0.105937,1
0,0.111063,64.322810,64.433873,0
1,0.105174,0.033285,0.138459,0
0,0.109334,63.685032,63.794366,0
1,0.116775,0.032355,0.149130,0
1,0.126000,0.000009,0.126009,1
1,0.115495,0.035197,0.150692,0
0,0.118012,67.678387,67.796399,0
0,0.107067,62.952207,63.059274,0
0,0.107334,57.868968,57.976302,0
0,0.100106,57.308000,57.408106,0
1,0.101015,0.032571,0.133586,0
1,0.104172,0.031721,0.135893,0
1,0.101646,0.032559,0.134205,0
0,0.103703,61.129627,61.233330,0
0,0.102557,59.965975,60.068532,0
1,0.121584,0.033991,0.155575,0
1,0.124932,0.000005,0.124937,1
1,0.103020,0.032958,0.135978,0
0,0.111816,63.356082,63.467898,0
0,0.110104,63.253604,63.363708,0
1,0.169767,0.043460,0.213227,0
1,0.111115,0.032861,0.143976,0
1,0.110439,0.034845,0.145284,0
1,0.110898,0.000005,0.110903,1
1,0.118743,0.000005,0.118748,1
1,0.114193,0.000005,0.114198,1
0,0.118287,63.036821,63.155108,0
1,0.109730,0.000009,0.109739,1
0,0.102393,67.298697,67.401090,0
0,0.109457,64.979927,65.089384,0
1,0.110100,0.000005,0.110105,1
0,0.114647,69.412692,69.527339,0
1,0.114259,0.033039,0.147298,0
1,0.111609,0.032405,0.144014,0
1,0.106675,0.033917,0.140592,0
1,0.104448,0.034424,0.138872,0
0,0.108085,67.282218,67.390303,0
1,0.107051,0.034936,0.141987,0
0,0.101664,67.690168,67.791832,0
0,0.110338,66.503073,66.613411,0
1,0.103812,0.030625,0.134437,0
1,0.103612,0.000009,0.103621,1
1,0.159245,0.039331,0.198576,0
1,0.142317,0.052072,0.194389,0
1,0.102751,0.031844,0.134595,0
0,0.113361,59.666776,59.780137,0
1,0.108038,0.036091,0.144129,0
0,0.142952,69.158789,69.301741,0
1,0.109043,0.033400,0.142443,0
0,0.113466,72.417333,72.530799,0
1,0.113115,0.000005,0.113120,1
0,0.115850,73.466636,73.582486,0
0,0.113642,67.844655,67.958297,0
0,0.128536,68.113912,68.242448,0
0,0.105634,69.716826,69.822460,0
1,0.104793,0.035334,0.140127,0
