feasible,beginning_to_start,start_to_solution,total,zero_solution
0,0.374769,76.600952,76.975721,0
1,0.361903,0.000059,0.361962,1
0,0.361078,76.138026,76.499104,0
1,0.369812,0.207037,0.576849,0
0,0.363485,77.931512,78.294997,0
0,0.371419,80.388932,80.760351,0
1,0.374034,0.203325,0.577359,0
1,0.361299,0.000038,0.361337,1
1,0.362229,0.217109,0.579338,0
0,0.363882,76.758343,77.122225,0
1,0.372030,0.207572,0.579602,0
1,0.363995,0.000040,0.364035,1
1,0.371614,0.245522,0.617136,0
1,0.364918,0.215286,0.580204,0
0,0.371021,78.957778,79.328799,0
0,0.366833,83.089373,83.456206,0
1,0.380800,0.215244,0.596044,0
1,0.373395,0.215645,0.589040,0
0,0.374975,79.476032,79.851007,0
1,0.363397,0.211556,0.574953,0
0,0.406945,83.502044,83.908989,0
0,0.367591,78.357193,78.724784,0
1,0.361940,0.210794,0.572734,0
1,0.366571,0.206454,0.573025,0
1,0.371749,0.253597,0.625346,0
1,0.365285,0.210698,0.575983,0
1,0.405814,0.223628,0.629442,0
1,0.363981,0.000037,0.364018,1
1,0.367919,0.211774,0.579693,0
1,0.366665,0.216032,0.582697,0
0,0.363870,79.900850,80.264720,0
1,0.362834,0.204072,0.566906,0
0,0.368944,82.648684,83.017628,0
0,0.366578,79.169867,79.536445,0
0,0.367021,79.332950,79.699971,0
1,0.368431,0.206495,0.574926,0
1,0.365152,0.208280,0.573432,0
1,0.371531,0.208097,0.579628,0
1,0.366811,0.000038,0.366849,1
1,0.361864,0.205350,0.567214,0
1,0.369851,0.000037,0.369888,1
1,0.365711,0.207950,0.573661,0
1,0.367323,0.218091,0.585414,0
0,0.361775,78.663181,79.024956,0
1,0.368746,0.215127,0.583873,0
1,0.369144,0.000037,0.369181,1
0,0.364139,80.643992,81.008131,0
1,0.376353,0.222842,0.599195,0
0,0.408781,81.377394,81.786175,0
0,0.367497,78.073556,78.441053,0
0,0.366094,77.331963,77.698057,0
0,0.366967,79.175560,79.542527,0
0,0.363322,78.199598,78.562920,0
0,0.364509,78.840622,79.205131,0
1,0.371270,0.212822,0.584092,0
0,0.361811,77.767751,78.129562,0
1,0.368588,0.212409,0.580997,0
0,0.363546,79.665173,80.028719,0
1,0.363507,0.217723,0.581230,0
1,0.373645,0.220009,0.593654,0
1,0.362098,0.228303,0.590401,0
0,0.369971,80.167008,80.536979,0
0,0.390882,80.675638,81.066520,0
0,0.365144,81.317465,81.682609,0
0,0.365403,81.557598,81.923001,0
1,0.370619,0.216419,0.587038,0
0,0.367937,81.176016,81.543953,0
0,0.361990,80.938666,81.300656,0
1,0.363004,0.216842,0.579846,0
0,0.404646,83.915274,84.319920,0
0,0.376485,81.809845,82.186330,0
1,0.373042,0.000038,0.373080,1
1,0.364567,0.214104,0.578671,0
1,0.361927,0.000038,0.361965,1
0,0.373817,83.012399,83.386216,0
1,0.385884,0.280240,0.666124,0
1,0.369501,0.221344,0.590845,0
0,0.363034,82.545338,82.908372,0
1,0.372866,0.000038,0.372904,1
0,0.366656,85.443516,85.810172,0
0,0.362618,77.702897,78.065515,0
1,0.370315,0.000038,0.370353,1
0,0.363758,77.826582,78.190340,0
0,0.366716,77.528777,77.895493,0
0,0.364242,86.428399,86.792641,0
0,0.388067,105.930828,106.318895,0
0,0.504925,123.538036,124.042961,0
1,0.494305,0.976451,1.470756,0
0,0.459667,114.330667,114.790334,0
0,0.455982,95.949005,96.404987,0
0,0.405483,92.994550,93.400033,0
1,0.392937,0.000037,0.392974,1
1,0.397018,0.236685,0.633703,0
1,0.398451,0.240828,0.639279,0
0,0.394337,95.111046,95.505383,0
1,0.396535,0.367072,0.763607,0
1,0.396131,0.366575,0.762706,0
1,0.392993,0.252150,0.645143,0
1,0.461689,0.268986,0.730675,0
0,0.393806,95.080374,95.474180,0
