feasible,beginning_to_start,start_to_solution,total,zero_solution
0,0.022798,1.752084,1.774882,0
1,0.023809,0.002054,0.025863,0
1,0.036966,0.002058,0.039024,0
1,0.022911,0.002255,0.025166,0
1,0.024884,0.002066,0.026950,0
1,0.027435,0.002096,0.029531,0
0,0.023760,2.361651,2.385411,0
0,0.022774,1.723825,1.746599,0
0,0.023714,1.777084,1.800798,0
1,0.027674,0.002023,0.029697,0
1,0.032002,0.002046,0.034048,0
0,0.023528,1.709001,1.732529,0
1,0.025270,0.002072,0.027342,0
1,0.023290,0.002005,0.025295,0
1,0.024838,0.003232,0.028070,0
1,0.022544,0.000001,0.022545,1
1,0.025978,0.002782,0.028760,0
1,0.023001,0.002118,0.025119,0
1,0.029633,0.003269,0.032902,0
0,0.023659,1.865544,1.889203,0
1,0.022690,0.002182,0.024872,0
1,0.022511,0.002142,0.024653,0
1,0.022248,0.002039,0.024287,0
1,0.043595,0.003213,0.046808,0
0,0.024212,1.919658,1.943870,0
1,0.023570,0.002043,0.025613,0
1,0.025235,0.002162,0.027397,0
0,0.024585,1.839151,1.863736,0
1,0.023186,0.002029,0.025215,0
1,0.024832,0.002064,0.026896,0
1,0.023057,0.002046,0.025103,0
1,0.022322,0.002074,0.024396,0
1,0.023020,0.000002,0.023022,1
1,0.024058,0.002296,0.026354,0
1,0.023860,0.002915,0.026775,0
1,0.025607,0.002062,0.027669,0
1,0.026781,0.000002,0.026783,1
1,0.022787,0.002047,0.024834,0
1,0.023608,0.002043,0.025651,0
1,0.024390,0.002001,0.026391,0
1,0.038856,0.000002,0.038858,1
1,0.022886,0.002010,0.024896,0
1,0.022907,0.002165,0.025072,0
1,0.023540,0.002092,0.025632,0
1,0.024955,0.002560,0.027515,0
0,0.023576,2.031479,2.055055,0
1,0.022210,0.002902,0.025112,0
1,0.024739,0.000003,0.024742,1
1,0.023199,0.002017,0.025216,0
0,0.023445,1.790684,1.814129,0
1,0.024845,0.000002,0.024847,1
0,0.026108,2.159821,2.185929,0
1,0.022419,0.002420,0.024839,0
0,0.022444,1.669064,1.691508,0
0,0.028323,1.775536,1.803859,0
1,0.025067,0.000003,0.025070,1
0,0.025308,1.546386,1.571694,0
1,0.023893,0.001995,0.025888,0
1,0.022902,0.002069,0.024971,0
1,0.024908,0.000002,0.024910,1
1,0.022356,0.000002,0.022358,1
1,0.049856,0.000002,0.049858,1
0,0.026729,1.647643,1.674372,0
0,0.022695,1.582915,1.605610,0
1,0.024742,0.002248,0.026990,0
1,0.025319,0.000001,0.025320,1
0,0.023766,1.465435,1.489201,0
0,0.024828,1.808820,1.833648,0
0,0.022573,1.779744,1.802317,0
1,0.025472,0.002007,0.027479,0
1,0.024170,0.001976,0.026146,0
1,0.025480,0.000002,0.025482,1
0,0.024025,1.977236,2.001261,0
0,0.028330,1.552440,1.580770,0
0,0.024059,1.594569,1.618628,0
1,0.024940,0.002443,0.027383,0
0,0.024068,2.032355,2.056423,0
0,0.026544,2.054059,2.080603,0
1,0.031007,0.003262,0.034269,0
0,0.022738,1.829976,1.852714,0
1,0.022891,0.000001,0.022892,1
1,0.021830,0.002038,0.023868,0
0,0.029788,1.911290,1.941078,0
1,0.022957,0.002166,0.025123,0
0,0.023236,1.891559,1.914795,0
0,0.023205,1.771931,1.795136,0
0,0.023520,2.080763,2.104283,0
0,0.023322,1.862218,1.885540,0
0,0.025578,2.436630,2.462208,0
1,0.023433,0.003215,0.026648,0
1,0.025791,0.002345,0.028136,0
1,0.024877,0.002798,0.027675,0
0,0.026124,2.303331,2.329455,0
1,0.026736,0.002174,0.028910,0
0,0.024696,1.528413,1.553109,0
0,0.026114,2.556855,2.582969,0
1,0.025431,0.003403,0.028834,0
0,0.025911,1.713771,1.739682,0
1,0.025706,0.002089,0.027795,0
1,0.023996,0.000001,0.023997,1
