feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.011689,0.001129,0.012818,0
0,0.011996,0.361644,0.373640,0
1,0.012166,0.001220,0.013386,0
1,0.012667,0.001219,0.013886,0
0,0.013702,0.333515,0.347217,0
1,0.015434,0.001364,0.016798,0
1,0.012203,0.000001,0.012204,1
1,0.012173,0.001124,0.013297,0
1,0.011466,0.001117,0.012583,0
1,0.011704,0.000002,0.011706,1
0,0.013535,0.326031,0.339566,0
0,0.013385,0.387855,0.401240,0
1,0.011709,0.000001,0.011710,1
1,0.013191,0.001138,0.014329,0
1,0.012255,0.000002,0.012257,1
0,0.011748,0.330672,0.342420,0
1,0.011767,0.001196,0.012963,0
1,0.011908,0.001187,0.013095,0
1,0.010893,0.001304,0.012197,0
1,0.010992,0.001140,0.012132,0
1,0.014260,0.001312,0.015572,0
0,0.020822,0.329455,0.350277,0
0,0.011865,0.311278,0.323143,0
1,0.012162,0.001417,0.013579,0
0,0.012178,0.311391,0.323569,0
0,0.011951,0.311596,0.323547,0
1,0.013453,0.000001,0.013454,1
1,0.013736,0.000001,0.013737,1
1,0.011308,0.001250,0.012558,0
0,0.012284,0.303380,0.315664,0
0,0.023796,0.383440,0.407236,0
0,0.011844,0.303651,0.315495,0
1,0.011663,0.001166,0.012829,0
0,0.011628,0.333511,0.345139,0
1,0.012052,0.001837,0.013889,0
1,0.011698,0.001186,0.012884,0
1,0.011423,0.000001,0.011424,1
1,0.012598,0.001162,0.013760,0
1,0.011596,0.001116,0.012712,0
1,0.012946,0.000001,0.012947,1
1,0.011240,0.001167,0.012407,0
0,0.014345,0.380796,0.395141,0
1,0.011780,0.001174,0.012954,0
1,0.012460,0.001502,0.013962,0
1,0.012134,0.000001,0.012135,1
0,0.012849,0.315431,0.328280,0
0,0.012210,0.306796,0.319006,0
0,0.011479,0.293514,0.304993,0
1,0.011804,0.001137,0.012941,0
0,0.011971,0.315822,0.327793,0
0,0.011881,0.358375,0.370256,0
1,0.013233,0.001163,0.014396,0
1,0.012139,0.001121,0.013260,0
0,0.011147,0.301623,0.312770,0
1,0.012399,0.001984,0.014383,0
1,0.012212,0.001211,0.013423,0
1,0.011339,0.001201,0.012540,0
1,0.012275,0.001312,0.013587,0
1,0.011376,0.001142,0.012518,0
1,0.011491,0.001367,0.012858,0
1,0.012161,0.000001,0.012162,1
1,0.011805,0.001504,0.013309,0
1,0.012413,0.000001,0.012414,1
1,0.012255,0.001222,0.013477,0
0,0.011973,0.321914,0.333887,0
0,0.011745,0.323706,0.335451,0
1,0.011866,0.001226,0.013092,0
1,0.011831,0.001205,0.013036,0
1,0.013414,0.001289,0.014703,0
1,0.013150,0.001158,0.014308,0
1,0.014720,0.001935,0.016655,0
1,0.012873,0.000001,0.012874,1
1,0.013064,0.001292,0.014356,0
1,0.013497,0.001232,0.014729,0
0,0.012467,0.337003,0.349470,0
0,0.011828,0.375458,0.387286,0
1,0.013488,0.001153,0.014641,0
0,0.011090,0.292166,0.303256,0
1,0.014951,0.001159,0.016110,0
1,0.012710,0.001222,0.013932,0
0,0.012037,0.324032,0.336069,0
1,0.021062,0.000001,0.021063,1
1,0.012097,0.001171,0.013268,0
1,0.012024,0.001132,0.013156,0
0,0.011639,0.316485,0.328124,0
1,0.012478,0.001175,0.013653,0
0,0.015217,0.360088,0.375305,0
1,0.011573,0.000001,0.011574,1
1,0.011441,0.001103,0.012544,0
1,0.011382,0.001282,0.012664,0
1,0.011851,0.001190,0.013041,0
1,0.012243,0.000001,0.012244,1
0,0.014964,0.333476,0.348440,0
0,0.011465,0.308076,0.319541,0
1,0.011603,0.001172,0.012775,0
1,0.011269,0.001158,0.012427,0
0,0.012612,0.362413,0.375025,0
0,0.011712,0.313011,0.324723,0
0,0.017689,0.384696,0.402385,0
1,0.014597,0.001400,0.015997,0
