feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.000732,0.000039,0.000771,0
1,0.000495,0.000039,0.000534,0
1,0.000458,0.000041,0.000499,0
1,0.000458,0.000038,0.000496,0
1,0.000686,0.000001,0.000687,1
1,0.000596,0.000000,0.000596,1
1,0.000488,0.000000,0.000488,1
1,0.000453,0.000000,0.000453,1
0,0.000493,0.000737,0.001230,0
1,0.000480,0.000039,0.000519,0
1,0.000445,0.000038,0.000483,0
0,0.000488,0.000718,0.001206,0
1,0.000518,0.000039,0.000557,0
0,0.000692,0.000733,0.001425,0
1,0.000438,0.000039,0.000477,0
0,0.000450,0.000651,0.001101,0
1,0.000488,0.000001,0.000489,1
0,0.000470,0.000770,0.001240,0
1,0.000446,0.000039,0.000485,0
1,0.000461,0.000039,0.000500,0
1,0.000635,0.000038,0.000673,0
1,0.000468,0.000039,0.000507,0
1,0.000447,0.000037,0.000484,0
0,0.000500,0.000805,0.001305,0
0,0.000437,0.000665,0.001102,0
1,0.000470,0.000040,0.000510,0
1,0.000465,0.000038,0.000503,0
1,0.000450,0.000039,0.000489,0
1,0.000427,0.000038,0.000465,0
0,0.000687,0.000725,0.001412,0
1,0.000519,0.000037,0.000556,0
0,0.000494,0.000787,0.001281,0
1,0.000454,0.000038,0.000492,0
1,0.000496,0.000039,0.000535,0
1,0.000460,0.000039,0.000499,0
0,0.000435,0.000874,0.001309,0
1,0.000604,0.000040,0.000644,0
1,0.000486,0.000039,0.000525,0
0,0.000493,0.000743,0.001236,0
1,0.000454,0.000038,0.000492,0
1,0.000457,0.000037,0.000494,0
0,0.000503,0.000737,0.001240,0
0,0.000428,0.000720,0.001148,0
1,0.000462,0.000038,0.000500,0
1,0.000430,0.000038,0.000468,0
1,0.000488,0.000038,0.000526,0
1,0.000456,0.000039,0.000495,0
1,0.000560,0.000038,0.000598,0
1,0.000491,0.000038,0.000529,0
0,0.000648,0.000744,0.001392,0
0,0.000547,0.000900,0.001447,0
0,0.000521,0.000802,0.001323,0
0,0.000498,0.000754,0.001252,0
0,0.000530,0.000787,0.001317,0
1,0.000456,0.000039,0.000495,0
1,0.000539,0.000038,0.000577,0
1,0.000439,0.000000,0.000439,1
1,0.000458,0.000038,0.000496,0
1,0.000468,0.000038,0.000506,0
1,0.000479,0.000040,0.000519,0
1,0.000488,0.000038,0.000526,0
0,0.000495,0.000741,0.001236,0
1,0.000528,0.000038,0.000566,0
0,0.000466,0.000688,0.001154,0
1,0.000463,0.000045,0.000508,0
1,0.000546,0.000039,0.000585,0
1,0.000484,0.000039,0.000523,0
1,0.000597,0.000038,0.000635,0
1,0.000427,0.000001,0.000428,1
1,0.000489,0.000000,0.000489,1
1,0.000450,0.000039,0.000489,0
1,0.000583,0.000039,0.000622,0
1,0.000445,0.000039,0.000484,0
0,0.000519,0.000837,0.001356,0
0,0.000480,0.000727,0.001207,0
1,0.000474,0.000039,0.000513,0
1,0.000474,0.000000,0.000474,1
0,0.000457,0.000770,0.001227,0
1,0.000474,0.000039,0.000513,0
1,0.000468,0.000038,0.000506,0
1,0.000471,0.000000,0.000471,1
1,0.000470,0.000039,0.000509,0
0,0.000442,0.000693,0.001135,0
1,0.000716,0.000059,0.000775,0
1,0.000697,0.000039,0.000736,0
1,0.000470,0.000039,0.000509,0
0,0.000488,0.000770,0.001258,0
1,0.000485,0.000040,0.000525,0
1,0.000474,0.000040,0.000514,0
0,0.000493,0.000773,0.001266,0
0,0.000615,0.000683,0.001298,0
1,0.000464,0.000039,0.000503,0
0,0.000571,0.000753,0.001324,0
0,0.000592,0.000831,0.001423,0
1,0.000596,0.000038,0.000634,0
1,0.000504,0.000040,0.000544,0
0,0.000466,0.000778,0.001244,0
0,0.000467,0.000777,0.001244,0
1,0.000503,0.000040,0.000543,0
1,0.000451,0.000038,0.000489,0
