feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.043390,0.000011,0.043401,1
0,0.042771,1.034218,1.076989,0
1,0.042659,0.019404,0.062063,0
0,0.043944,1.018087,1.062031,0
1,0.043349,0.020694,0.064043,0
0,0.043669,1.003305,1.046974,0
1,0.043659,0.018955,0.062614,0
1,0.043316,0.019622,0.062938,0
0,0.044295,1.070604,1.114899,0
1,0.043876,0.020121,0.063997,0
0,0.044301,1.011843,1.056144,0
0,0.044547,1.080553,1.125100,0
0,0.043719,1.070647,1.114366,0
0,0.043553,1.047009,1.090562,0
0,0.044650,1.033705,1.078355,0
0,0.043574,1.153028,1.196602,0
1,0.043847,0.020490,0.064337,0
0,0.043215,1.129245,1.172460,0
1,0.044209,0.000010,0.044219,1
1,0.043570,0.020840,0.064410,0
1,0.043860,0.020147,0.064007,0
1,0.043836,0.000010,0.043846,1
0,0.044529,1.069045,1.113574,0
0,0.044425,1.024277,1.068702,0
1,0.043513,0.020294,0.063807,0
0,0.043591,1.049125,1.092716,0
1,0.044872,0.000010,0.044882,1
1,0.044655,0.000010,0.044665,1
0,0.046183,1.040198,1.086381,0
1,0.043278,0.020347,0.063625,0
1,0.044360,0.020126,0.064486,0
0,0.043701,1.040544,1.084245,0
1,0.044636,0.019726,0.064362,0
1,0.043746,0.020010,0.063756,0
0,0.043683,1.047765,1.091448,0
0,0.044172,1.029426,1.073598,0
1,0.043317,0.020579,0.063896,0
1,0.043227,0.019446,0.062673,0
1,0.043628,0.019770,0.063398,0
1,0.043970,0.021974,0.065944,0
1,0.043973,0.020374,0.064347,0
0,0.043990,1.033527,1.077517,0
1,0.043330,0.000010,0.043340,1
1,0.052607,0.023168,0.075775,0
1,0.044462,0.019681,0.064143,0
0,0.044039,1.100464,1.144503,0
1,0.043045,0.019696,0.062741,0
0,0.044293,1.050270,1.094563,0
1,0.044000,0.019159,0.063159,0
1,0.043524,0.020832,0.064356,0
1,0.043482,0.020069,0.063551,0
0,0.043995,1.049141,1.093136,0
0,0.043133,1.033035,1.076168,0
0,0.045442,1.070301,1.115743,0
0,0.042910,1.014910,1.057820,0
1,0.044435,0.020001,0.064436,0
0,0.043637,1.041993,1.085630,0
0,0.043187,0.986080,1.029267,0
1,0.043641,0.020000,0.063641,0
0,0.042932,1.009537,1.052469,0
1,0.043248,0.000010,0.043258,1
1,0.043897,0.019270,0.063167,0
0,0.044067,1.027832,1.071899,0
1,0.043925,0.020362,0.064287,0
0,0.044248,1.023530,1.067778,0
1,0.043452,0.020531,0.063983,0
1,0.043262,0.019320,0.062582,0
1,0.043711,0.019721,0.063432,0
1,0.043142,0.019088,0.062230,0
0,0.043031,0.997176,1.040207,0
0,0.043464,1.006816,1.050280,0
0,0.043332,1.059545,1.102877,0
1,0.043692,0.019509,0.063201,0
1,0.043914,0.000010,0.043924,1
0,0.042799,1.056951,1.099750,0
1,0.042597,0.020159,0.062756,0
1,0.043389,0.020583,0.063972,0
1,0.044071,0.000010,0.044081,1
0,0.042751,1.068941,1.111692,0
1,0.043836,0.000010,0.043846,1
0,0.043219,1.045749,1.088968,0
1,0.043690,0.000010,0.043700,1
1,0.043799,0.020127,0.063926,0
1,0.043034,0.020173,0.063207,0
1,0.043264,0.000010,0.043274,1
1,0.044159,0.019218,0.063377,0
0,0.043568,1.145300,1.188868,0
1,0.043416,0.020859,0.064275,0
0,0.043656,1.005975,1.049631,0
1,0.043284,0.019879,0.063163,0
1,0.043337,0.020644,0.063981,0
1,0.043356,0.000012,0.043368,1
1,0.043449,0.021060,0.064509,0
1,0.044911,0.020537,0.065448,0
0,0.043426,1.040594,1.084020,0
0,0.044277,1.031063,1.075340,0
1,0.044500,0.019646,0.064146,0
1,0.043159,0.019637,0.062796,0
1,0.043824,0.019961,0.063785,0
0,0.044176,1.043642,1.087818,0
