feasible,beginning_to_start,start_to_solution,total,zero_solution
1,0.001026,0.000070,0.001096,0
1,0.000890,0.000063,0.000953,0
1,0.000977,0.000064,0.001041,0
1,0.000901,0.000001,0.000902,1
1,0.001131,0.000062,0.001193,0
1,0.000925,0.000064,0.000989,0
1,0.001117,0.000068,0.001185,0
1,0.000984,0.000066,0.001050,0
1,0.000910,0.000065,0.000975,0
0,0.000943,0.003228,0.004171,0
1,0.000907,0.000064,0.000971,0
1,0.000913,0.000065,0.000978,0
1,0.000928,0.000066,0.000994,0
1,0.000898,0.000070,0.000968,0
0,0.000921,0.003060,0.003981,0
0,0.000903,0.002738,0.003641,0
1,0.000943,0.000072,0.001015,0
1,0.000916,0.000064,0.000980,0
1,0.000968,0.000064,0.001032,0
0,0.000911,0.003041,0.003952,0
1,0.001177,0.000066,0.001243,0
0,0.000946,0.003199,0.004145,0
0,0.001106,0.003286,0.004392,0
0,0.000931,0.003171,0.004102,0
1,0.000921,0.000001,0.000922,1
0,0.001295,0.003544,0.004839,0
1,0.000979,0.000067,0.001046,0
1,0.000864,0.000078,0.000942,0
1,0.000890,0.000068,0.000958,0
1,0.001194,0.000001,0.001195,1
1,0.000874,0.000073,0.000947,0
1,0.000929,0.000065,0.000994,0
1,0.000921,0.000000,0.000921,1
0,0.000988,0.003196,0.004184,0
1,0.000984,0.000000,0.000984,1
1,0.000881,0.000068,0.000949,0
1,0.000761,0.000063,0.000824,0
1,0.000863,0.000064,0.000927,0
0,0.001153,0.003607,0.004760,0
0,0.000868,0.002822,0.003690,0
0,0.000920,0.003051,0.003971,0
1,0.000938,0.000069,0.001007,0
1,0.000880,0.000064,0.000944,0
1,0.000967,0.000066,0.001033,0
1,0.000918,0.000066,0.000984,0
0,0.000981,0.003283,0.004264,0
1,0.000893,0.000001,0.000894,1
1,0.000893,0.000064,0.000957,0
1,0.000912,0.000000,0.000912,1
1,0.001011,0.000001,0.001012,1
1,0.000969,0.000001,0.000970,1
1,0.000923,0.000062,0.000985,0
0,0.000879,0.002750,0.003629,0
1,0.000886,0.000065,0.000951,0
0,0.000937,0.003079,0.004016,0
0,0.000950,0.003044,0.003994,0
1,0.001049,0.000065,0.001114,0
1,0.000901,0.000067,0.000968,0
0,0.000900,0.003109,0.004009,0
0,0.000960,0.003295,0.004255,0
1,0.000994,0.000068,0.001062,0
1,0.000933,0.000062,0.000995,0
1,0.000923,0.000064,0.000987,0
1,0.000895,0.000066,0.000961,0
1,0.000927,0.000064,0.000991,0
1,0.000905,0.000064,0.000969,0
0,0.001060,0.003399,0.004459,0
1,0.001150,0.000064,0.001214,0
1,0.000889,0.000068,0.000957,0
1,0.001075,0.000064,0.001139,0
1,0.000842,0.000065,0.000907,0
0,0.000960,0.003416,0.004376,0
0,0.001013,0.003354,0.004367,0
1,0.001048,0.000000,0.001048,1
1,0.000901,0.000063,0.000964,0
0,0.000911,0.003004,0.003915,0
0,0.000913,0.002567,0.003480,0
0,0.000884,0.003006,0.003890,0
1,0.000930,0.000065,0.000995,0
1,0.000949,0.000067,0.001016,0
1,0.000928,0.000065,0.000993,0
1,0.000905,0.000001,0.000906,1
1,0.001070,0.000001,0.001071,1
0,0.000890,0.003004,0.003894,0
0,0.000891,0.003017,0.003908,0
1,0.000910,0.000066,0.000976,0
0,0.001077,0.003392,0.004469,0
1,0.000924,0.000000,0.000924,1
1,0.000901,0.000066,0.000967,0
1,0.001131,0.000063,0.001194,0
1,0.000927,0.000001,0.000928,1
1,0.000962,0.000066,0.001028,0
0,0.000856,0.002714,0.003570,0
1,0.000963,0.000001,0.000964,1
1,0.000891,0.000064,0.000955,0
1,0.000850,0.000064,0.000914,0
1,0.000979,0.000066,0.001045,0
0,0.000923,0.002545,0.003468,0
0,0.000959,0.003175,0.004134,0
1,0.000877,0.000001,0.000878,1
