feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000062,0.000022,0.000084,0,71
1,0.000059,0.000024,0.000083,0,194
0,0.000061,0.000025,0.000086,0,462
1,0.000055,0.000023,0.000078,0,219
1,0.000053,0.000024,0.000077,0,176
1,0.000057,0.000024,0.000081,0,196
1,0.000055,0.000022,0.000077,0,68
1,0.000064,0.000026,0.000090,0,208
1,0.000056,0.000023,0.000079,0,96
1,0.000119,0.000047,0.000166,0,89
1,0.000050,0.000022,0.000072,0,72
0,0.000050,0.000023,0.000073,0,357
1,0.000057,0.000023,0.000080,0,74
1,0.000051,0.000023,0.000074,0,69
0,0.000053,0.000024,0.000077,0,367
0,0.000056,0.000023,0.000079,0,271
0,0.000061,0.000024,0.000085,0,345
1,0.000053,0.000023,0.000076,0,83
1,0.000054,0.000022,0.000076,0,67
1,0.000055,0.000022,0.000077,0,65
1,0.000065,0.000023,0.000088,0,143
0,0.000064,0.000026,0.000090,0,263
0,0.000069,0.000033,0.000102,0,501
0,0.000056,0.000025,0.000081,0,363
1,0.000053,0.000022,0.000075,0,71
1,0.000070,0.000023,0.000093,0,77
1,0.000064,0.000029,0.000093,0,441
0,0.000062,0.000027,0.000089,0,305
1,0.000060,0.000025,0.000085,0,222
0,0.000054,0.000022,0.000076,0,266
1,0.000050,0.000024,0.000074,0,67
1,0.000055,0.000022,0.000077,0,72
1,0.000053,0.000023,0.000076,0,93
0,0.000057,0.000043,0.000100,0,302
0,0.000076,0.000035,0.000111,0,665
1,0.000057,0.000024,0.000081,0,117
0,0.000054,0.000024,0.000078,0,458
1,0.000053,0.000022,0.000075,0,73
0,0.000057,0.000025,0.000082,0,442
1,0.000060,0.000023,0.000083,0,77
1,0.000076,0.000027,0.000103,0,97
