feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000102,0.000098,0.000200,0,140
1,0.000089,0.000093,0.000182,0,101
1,0.000100,0.000110,0.000210,0,120
1,0.000083,0.000102,0.000185,0,100
1,0.000086,0.000106,0.000192,0,101
1,0.000094,0.000100,0.000194,0,103
1,0.000087,0.000099,0.000186,0,101
1,0.000085,0.000105,0.000190,0,100
1,0.000085,0.000093,0.000178,0,100
1,0.000101,0.000142,0.000243,0,101
1,0.000101,0.000094,0.000195,0,174
1,0.000149,0.000108,0.000257,0,207
1,0.000129,0.000107,0.000236,0,101
1,0.000093,0.000108,0.000201,0,102
1,0.000173,0.000206,0.000379,0,100
1,0.000091,0.000108,0.000199,0,102
1,0.000088,0.000117,0.000205,0,100
1,0.000142,0.000100,0.000242,0,100
1,0.000088,0.000111,0.000199,0,101
1,0.000094,0.000100,0.000194,0,101
0,0.000101,0.000136,0.000237,0,301
0,0.000106,0.000102,0.000208,0,305
0,0.000094,0.000105,0.000199,0,299
0,0.000106,0.000104,0.000210,0,350
0,0.000096,0.000109,0.000205,0,299
0,0.000101,0.000108,0.000209,0,441
0,0.000199,0.000182,0.000381,0,306
0,0.000095,0.000110,0.000205,0,314
0,0.000119,0.000133,0.000252,0,319
0,0.000099,0.000106,0.000205,0,299
0,0.000106,0.000100,0.000206,0,403
0,0.000093,0.000110,0.000203,0,306
0,0.000124,0.000127,0.000251,0,399
0,0.000191,0.000203,0.000394,0,398
0,0.000098,0.000110,0.000208,0,374
0,0.000097,0.000096,0.000193,0,299
0,0.000184,0.000120,0.000304,0,300
0,0.000134,0.000114,0.000248,0,463
0,0.000097,0.000107,0.000204,0,397
0,0.000095,0.000096,0.000191,0,298
