feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000860,0.003880,0.004740,0,102
1,0.001055,0.003413,0.004468,0,101
1,0.001097,0.003001,0.004098,0,102
1,0.000907,0.003869,0.004776,0,103
1,0.000854,0.003546,0.004400,0,102
1,0.000907,0.003698,0.004605,0,101
1,0.001248,0.003430,0.004678,0,101
1,0.000928,0.003655,0.004583,0,101
1,0.000826,0.003513,0.004339,0,101
1,0.000883,0.003590,0.004473,0,102
1,0.000838,0.003554,0.004392,0,100
1,0.000859,0.003582,0.004441,0,105
1,0.000862,0.003654,0.004516,0,102
1,0.000872,0.003634,0.004506,0,176
1,0.001170,0.003584,0.004754,0,105
1,0.000843,0.003381,0.004224,0,101
1,0.000861,0.003635,0.004496,0,103
1,0.000866,0.003581,0.004447,0,104
1,0.001272,0.003620,0.004892,0,102
1,0.000895,0.003589,0.004484,0,102
0,0.000952,0.003640,0.004592,0,298
0,0.000932,0.003848,0.004780,0,330
0,0.002220,0.004176,0.006396,0,308
0,0.000922,0.004280,0.005202,0,398
0,0.000863,0.003696,0.004559,0,298
0,0.000911,0.003991,0.004902,0,305
0,0.000832,0.003754,0.004586,0,301
0,0.000830,0.003882,0.004712,0,398
0,0.000918,0.003602,0.004520,0,361
0,0.001197,0.004287,0.005484,0,400
0,0.001027,0.003954,0.004981,0,298
0,0.001177,0.003963,0.005140,0,298
0,0.000875,0.003562,0.004437,0,298
0,0.000883,0.003614,0.004497,0,367
0,0.000845,0.003624,0.004469,0,397
0,0.000838,0.003578,0.004416,0,298
0,0.000856,0.003610,0.004466,0,298
0,0.000969,0.003917,0.004886,0,298
0,0.001075,0.003650,0.004725,0,444
0,0.000926,0.004059,0.004985,0,452
