feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000083,0.000062,0.000145,0,86
1,0.000050,0.000051,0.000101,0,94
1,0.000066,0.000039,0.000105,0,323
1,0.000042,0.000032,0.000074,0,93
1,0.000047,0.000032,0.000079,0,90
1,0.000049,0.000032,0.000081,0,91
1,0.000052,0.000031,0.000083,0,91
1,0.000045,0.000034,0.000079,0,85
1,0.000048,0.000033,0.000081,0,90
1,0.000041,0.000032,0.000073,0,87
1,0.000051,0.000033,0.000084,0,95
1,0.000052,0.000031,0.000083,0,90
1,0.000051,0.000032,0.000083,0,92
1,0.000047,0.000032,0.000079,0,91
1,0.000042,0.000031,0.000073,0,85
1,0.000062,0.000034,0.000096,0,152
1,0.000045,0.000032,0.000077,0,97
1,0.000049,0.000032,0.000081,0,90
1,0.000132,0.000065,0.000197,0,133
1,0.000077,0.000033,0.000110,0,145
0,0.000054,0.000036,0.000090,0,302
0,0.000059,0.000035,0.000094,0,309
0,0.000087,0.000035,0.000122,0,332
0,0.000052,0.000034,0.000086,0,364
0,0.000118,0.000033,0.000151,0,289
0,0.000054,0.000033,0.000087,0,378
0,0.000056,0.000033,0.000089,0,290
0,0.000050,0.000033,0.000083,0,285
0,0.000091,0.000034,0.000125,0,361
0,0.000109,0.000069,0.000178,0,393
0,0.000063,0.000058,0.000121,0,423
0,0.000055,0.000033,0.000088,0,287
0,0.000052,0.000034,0.000086,0,381
0,0.000059,0.000034,0.000093,0,297
0,0.000056,0.000035,0.000091,0,422
0,0.000146,0.000074,0.000220,0,452
0,0.000054,0.000035,0.000089,0,360
0,0.000054,0.000034,0.000088,0,385
0,0.000082,0.000036,0.000118,0,346
0,0.000058,0.000033,0.000091,0,292
