feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000266,0.000902,0.001168,0,438
1,0.000229,0.000761,0.000990,0,688
1,0.000293,0.000765,0.001058,0,457
0,0.000249,0.001500,0.001749,0,1932
1,0.000223,0.000759,0.000982,0,432
0,0.000308,0.000804,0.001112,0,2746
1,0.000261,0.000769,0.001030,0,593
1,0.000270,0.000780,0.001050,0,1064
0,0.000291,0.000850,0.001141,0,3444
1,0.000224,0.000772,0.000996,0,437
1,0.000288,0.000773,0.001061,0,602
1,0.000240,0.000780,0.001020,0,432
1,0.000252,0.000824,0.001076,0,440
1,0.000332,0.000962,0.001294,0,689
1,0.000243,0.000758,0.001001,0,440
0,0.000291,0.000840,0.001131,0,1423
1,0.000332,0.000782,0.001114,0,445
0,0.000232,0.000770,0.001002,0,1433
1,0.000245,0.000759,0.001004,0,450
0,0.000312,0.000829,0.001141,0,3140
1,0.000219,0.000762,0.000981,0,449
1,0.000258,0.000790,0.001048,0,448
1,0.000267,0.000759,0.001026,0,462
0,0.000216,0.000780,0.000996,0,2430
0,0.000257,0.000925,0.001182,0,2370
0,0.000207,0.000774,0.000981,0,2807
1,0.000288,0.000793,0.001081,0,544
1,0.000306,0.000770,0.001076,0,504
1,0.000318,0.000982,0.001300,0,453
1,0.000308,0.000767,0.001075,0,453
1,0.000279,0.000767,0.001046,0,539
1,0.000226,0.000751,0.000977,0,448
1,0.000303,0.000872,0.001175,0,447
0,0.000313,0.000789,0.001102,0,2278
1,0.000340,0.001047,0.001387,0,437
1,0.000264,0.000775,0.001039,0,487
0,0.000265,0.000780,0.001045,0,2381
1,0.000282,0.000760,0.001042,0,496
1,0.000271,0.000791,0.001062,0,440
1,0.000255,0.000764,0.001019,0,450
1,0.000240,0.000795,0.001035,0,563
1,0.000243,0.000772,0.001015,0,1342
1,0.000245,0.000777,0.001022,0,437
0,0.000254,0.000831,0.001085,0,2656
0,0.000262,0.000806,0.001068,0,2391
1,0.000262,0.000817,0.001079,0,437
1,0.000255,0.000757,0.001012,0,439
1,0.000290,0.000790,0.001080,0,1511
1,0.000283,0.000819,0.001102,0,464
1,0.000303,0.000769,0.001072,0,680
1,0.000261,0.000807,0.001068,0,448
1,0.000293,0.000785,0.001078,0,451
0,0.000234,0.000791,0.001025,0,1968
1,0.000216,0.000816,0.001032,0,444
1,0.000256,0.000767,0.001023,0,460
0,0.000262,0.000781,0.001043,0,2243
1,0.000254,0.000760,0.001014,0,538
1,0.000261,0.000784,0.001045,0,501
1,0.000278,0.000831,0.001109,0,441
1,0.000363,0.000963,0.001326,0,2194
1,0.000234,0.000756,0.000990,0,449
1,0.000252,0.000760,0.001012,0,434
0,0.000293,0.000816,0.001109,0,2985
1,0.000273,0.000776,0.001049,0,857
1,0.000219,0.000758,0.000977,0,439
1,0.000229,0.000759,0.000988,0,511
0,0.000259,0.000809,0.001068,0,3238
0,0.000266,0.000855,0.001121,0,2382
0,0.000267,0.001099,0.001366,0,2106
0,0.000238,0.000807,0.001045,0,3339
0,0.000195,0.000792,0.000987,0,1450
0,0.000345,0.000929,0.001274,0,2977
1,0.000304,0.000792,0.001096,0,1355
1,0.000277,0.000761,0.001038,0,449
1,0.000207,0.000763,0.000970,0,446
0,0.000274,0.000795,0.001069,0,3250
1,0.000306,0.000815,0.001121,0,435
0,0.000303,0.000982,0.001285,0,1561
1,0.000301,0.000773,0.001074,0,509
1,0.000238,0.000760,0.000998,0,437
1,0.000258,0.000793,0.001051,0,443
1,0.000251,0.000757,0.001008,0,438
1,0.000220,0.000757,0.000977,0,439
0,0.000274,0.000835,0.001109,0,2382
1,0.000305,0.000949,0.001254,0,726
1,0.000331,0.000792,0.001123,0,455
1,0.000475,0.000763,0.001238,0,455
0,0.000256,0.000796,0.001052,0,2955
1,0.000275,0.000771,0.001046,0,956
1,0.000217,0.000808,0.001025,0,444
1,0.000257,0.000799,0.001056,0,1632
1,0.000229,0.000764,0.000993,0,472
1,0.000224,0.000785,0.001009,0,445
1,0.000290,0.000771,0.001061,0,471
1,0.000254,0.000765,0.001019,0,514
0,0.000221,0.000798,0.001019,0,2029
1,0.000307,0.000776,0.001083,0,500
1,0.000270,0.000771,0.001041,0,720
1,0.000249,0.000764,0.001013,0,454
1,0.000234,0.000869,0.001103,0,440
