feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
0,0.000196,0.000524,0.000720,0,3028
1,0.000149,0.000483,0.000632,0,314
1,0.000172,0.000520,0.000692,0,329
0,0.000191,0.000490,0.000681,0,1320
1,0.000180,0.000483,0.000663,0,355
1,0.000218,0.000503,0.000721,0,891
1,0.000190,0.000481,0.000671,0,311
0,0.000192,0.000512,0.000704,0,2582
1,0.000193,0.000510,0.000703,0,573
1,0.000184,0.000519,0.000703,0,354
1,0.000226,0.000511,0.000737,0,1569
0,0.000314,0.000505,0.000819,0,2424
1,0.000227,0.000488,0.000715,0,383
0,0.000203,0.000515,0.000718,0,2873
1,0.000194,0.000489,0.000683,0,340
1,0.000246,0.000515,0.000761,0,326
1,0.000247,0.000502,0.000749,0,921
1,0.000168,0.000555,0.000723,0,326
1,0.000182,0.000612,0.000794,0,370
0,0.000210,0.000497,0.000707,0,1817
1,0.000224,0.000516,0.000740,0,371
1,0.000220,0.000490,0.000710,0,402
1,0.000199,0.000526,0.000725,0,626
0,0.000180,0.000500,0.000680,0,2126
1,0.000218,0.000548,0.000766,0,336
0,0.000229,0.000550,0.000779,0,3780
0,0.000208,0.000560,0.000768,0,4552
1,0.000151,0.000489,0.000640,0,316
1,0.000168,0.000484,0.000652,0,327
1,0.000172,0.000509,0.000681,0,331
1,0.000256,0.000504,0.000760,0,608
1,0.000254,0.000548,0.000802,0,1291
1,0.000218,0.000516,0.000734,0,329
1,0.000153,0.000483,0.000636,0,318
1,0.000236,0.000577,0.000813,0,431
1,0.000217,0.000494,0.000711,0,794
1,0.000167,0.000529,0.000696,0,323
1,0.000280,0.000537,0.000817,0,1774
0,0.000194,0.000507,0.000701,0,2816
1,0.000248,0.000521,0.000769,0,342
1,0.000188,0.000486,0.000674,0,318
0,0.000239,0.000529,0.000768,0,1948
1,0.000205,0.000485,0.000690,0,322
1,0.000237,0.000487,0.000724,0,344
0,0.000165,0.000502,0.000667,0,2560
0,0.000163,0.000548,0.000711,0,2081
0,0.000209,0.000513,0.000722,0,1848
1,0.000260,0.000539,0.000799,0,409
1,0.000187,0.000487,0.000674,0,378
1,0.000224,0.000530,0.000754,0,705
1,0.000238,0.000497,0.000735,0,681
0,0.000198,0.000503,0.000701,0,2154
0,0.000191,0.000523,0.000714,0,2291
1,0.000167,0.000490,0.000657,0,395
1,0.000133,0.000485,0.000618,0,329
0,0.000209,0.000524,0.000733,0,4239
1,0.000215,0.000485,0.000700,0,321
1,0.000200,0.000514,0.000714,0,336
1,0.000213,0.000582,0.000795,0,340
0,0.000179,0.000493,0.000672,0,1328
1,0.000196,0.000489,0.000685,0,355
1,0.000199,0.000489,0.000688,0,338
1,0.000231,0.000487,0.000718,0,346
1,0.000226,0.000515,0.000741,0,323
1,0.000207,0.000493,0.000700,0,519
0,0.000215,0.000524,0.000739,0,1444
1,0.000179,0.000511,0.000690,0,316
1,0.000143,0.000481,0.000624,0,309
1,0.000228,0.000487,0.000715,0,429
1,0.000186,0.000507,0.000693,0,354
1,0.000369,0.000501,0.000870,0,396
1,0.000256,0.000494,0.000750,0,535
1,0.000186,0.000532,0.000718,0,330
1,0.000241,0.000585,0.000826,0,515
1,0.000157,0.000513,0.000670,0,321
1,0.000206,0.000506,0.000712,0,331
1,0.000184,0.000482,0.000666,0,323
1,0.000181,0.000488,0.000669,0,336
1,0.000157,0.000483,0.000640,0,305
1,0.000215,0.000585,0.000800,0,318
0,0.000237,0.000523,0.000760,0,3319
1,0.000249,0.000513,0.000762,0,1166
1,0.000216,0.000501,0.000717,0,939
0,0.000203,0.000597,0.000800,0,2813
1,0.000198,0.000491,0.000689,0,512
1,0.000230,0.000527,0.000757,0,415
1,0.000378,0.000622,0.001000,0,372
1,0.000194,0.000830,0.001024,0,436
1,0.000190,0.000490,0.000680,0,336
1,0.000213,0.000516,0.000729,0,335
1,0.000202,0.000488,0.000690,0,329
1,0.000231,0.000488,0.000719,0,319
1,0.000169,0.000510,0.000679,0,319
0,0.000220,0.000573,0.000793,0,1874
1,0.000196,0.000491,0.000687,0,311
1,0.000176,0.000488,0.000664,0,335
1,0.000165,0.000489,0.000654,0,334
1,0.000184,0.000538,0.000722,0,375
1,0.000219,0.000516,0.000735,0,1338
1,0.000197,0.000496,0.000693,0,313
