feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.004761,0.093350,0.098111,0,205
1,0.004722,0.088294,0.093016,0,208
1,0.004441,0.089584,0.094025,0,205
1,0.004924,0.092753,0.097677,0,211
1,0.004851,0.087606,0.092457,0,208
1,0.005017,0.094593,0.099610,0,212
1,0.004637,0.090519,0.095156,0,207
1,0.004866,0.088812,0.093678,0,207
1,0.004368,0.091320,0.095688,0,210
1,0.005824,0.088887,0.094711,0,210
1,0.004440,0.091208,0.095648,0,221
1,0.004545,0.087880,0.092425,0,205
1,0.004684,0.089996,0.094680,0,204
1,0.004563,0.085570,0.090133,0,211
1,0.004669,0.088543,0.093212,0,202
1,0.005528,0.087209,0.092737,0,204
1,0.005107,0.090030,0.095137,0,222
1,0.005096,0.094256,0.099352,0,211
1,0.004463,0.091691,0.096154,0,220
1,0.007048,0.087662,0.094710,0,209
1,0.004731,0.090325,0.095056,0,209
1,0.005078,0.093794,0.098872,0,205
1,0.004450,0.091981,0.096431,0,210
0,0.005908,0.089614,0.095522,0,858
1,0.004687,0.087488,0.092175,0,221
1,0.004569,0.090375,0.094944,0,205
1,0.005015,0.094723,0.099738,0,204
1,0.004527,0.091853,0.096380,0,203
1,0.004863,0.088668,0.093531,0,202
1,0.004961,0.090851,0.095812,0,204
0,0.004569,0.090316,0.094885,0,907
0,0.004557,0.087258,0.091815,0,996
1,0.004475,0.091748,0.096223,0,214
0,0.004607,0.092602,0.097209,0,922
1,0.004767,0.088811,0.093578,0,207
1,0.004826,0.091315,0.096141,0,208
1,0.004699,0.089567,0.094266,0,212
0,0.004846,0.089839,0.094685,0,760
1,0.004404,0.089549,0.093953,0,214
1,0.004763,0.087915,0.092678,0,209
1,0.004590,0.088041,0.092631,0,216
1,0.004488,0.089466,0.093954,0,207
1,0.004406,0.086686,0.091092,0,211
0,0.004639,0.091150,0.095789,0,600
1,0.004620,0.089930,0.094550,0,204
1,0.004604,0.091092,0.095696,0,210
0,0.004607,0.088003,0.092610,0,701
1,0.004712,0.086301,0.091013,0,204
1,0.004495,0.088780,0.093275,0,209
1,0.004512,0.089072,0.093584,0,208
1,0.004524,0.085997,0.090521,0,229
1,0.004817,0.094151,0.098968,0,213
1,0.004593,0.088096,0.092689,0,216
1,0.004626,0.086200,0.090826,0,207
1,0.004920,0.093452,0.098372,0,213
1,0.004603,0.088460,0.093063,0,211
1,0.004594,0.088902,0.093496,0,221
1,0.005081,0.089349,0.094430,0,217
1,0.004545,0.087406,0.091951,0,215
1,0.004671,0.088525,0.093196,0,206
1,0.004819,0.090071,0.094890,0,203
1,0.004535,0.089571,0.094106,0,206
1,0.005553,0.088685,0.094238,0,207
1,0.004483,0.091685,0.096168,0,207
1,0.004527,0.091425,0.095952,0,228
0,0.004746,0.091630,0.096376,0,796
1,0.004735,0.090200,0.094935,0,206
1,0.004702,0.088392,0.093094,0,216
1,0.004723,0.088362,0.093085,0,211
1,0.004693,0.087977,0.092670,0,214
1,0.004274,0.089617,0.093891,0,214
1,0.004401,0.089278,0.093679,0,204
1,0.004351,0.087565,0.091916,0,203
1,0.004428,0.089144,0.093572,0,214
1,0.004528,0.092194,0.096722,0,210
1,0.004605,0.087809,0.092414,0,207
1,0.004501,0.088440,0.092941,0,213
1,0.004416,0.091432,0.095848,0,205
1,0.004261,0.090309,0.094570,0,209
1,0.004469,0.092554,0.097023,0,211
1,0.004895,0.087625,0.092520,0,204
1,0.004785,0.091880,0.096665,0,204
1,0.004321,0.087299,0.091620,0,205
1,0.004684,0.088447,0.093131,0,207
1,0.004586,0.086516,0.091102,0,209
1,0.004730,0.089512,0.094242,0,203
1,0.004389,0.086675,0.091064,0,206
1,0.004573,0.093212,0.097785,0,208
1,0.005092,0.090040,0.095132,0,204
1,0.004935,0.090967,0.095902,0,207
1,0.004458,0.090612,0.095070,0,208
1,0.004386,0.088530,0.092916,0,209
0,0.004503,0.087899,0.092402,0,427
1,0.004537,0.090113,0.094650,0,211
1,0.004389,0.089281,0.093670,0,203
1,0.004644,0.089174,0.093818,0,209
1,0.004837,0.091129,0.095966,0,207
1,0.004440,0.089694,0.094134,0,206
1,0.004249,0.087566,0.091815,0,213
1,0.004451,0.087106,0.091557,0,212
