feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
0,0.000064,0.000024,0.000088,0,458
1,0.000061,0.000080,0.000141,0,75
1,0.000058,0.000020,0.000078,0,70
1,0.000068,0.000026,0.000094,0,212
1,0.000057,0.000023,0.000080,0,136
1,0.000062,0.000024,0.000086,0,186
1,0.000059,0.000023,0.000082,0,81
1,0.000052,0.000022,0.000074,0,62
1,0.000068,0.000024,0.000092,0,87
0,0.000062,0.000027,0.000089,0,381
0,0.000055,0.000023,0.000078,0,281
0,0.000062,0.000026,0.000088,0,505
1,0.000059,0.000024,0.000083,0,141
1,0.000057,0.000024,0.000081,0,74
1,0.000070,0.000023,0.000093,0,114
1,0.000050,0.000022,0.000072,0,73
1,0.000085,0.000024,0.000109,0,72
1,0.000050,0.000023,0.000073,0,112
1,0.000055,0.000022,0.000077,0,120
1,0.000062,0.000022,0.000084,0,84
0,0.000051,0.000025,0.000076,0,535
1,0.000057,0.000023,0.000080,0,71
0,0.000059,0.000025,0.000084,0,377
1,0.000068,0.000029,0.000097,0,295
0,0.000067,0.000033,0.000100,0,532
0,0.000065,0.000028,0.000093,0,345
1,0.000054,0.000023,0.000077,0,68
1,0.000056,0.000022,0.000078,0,121
1,0.000065,0.000024,0.000089,0,123
0,0.000065,0.000025,0.000090,0,354
1,0.000090,0.000024,0.000114,0,78
1,0.000054,0.000023,0.000077,0,75
1,0.000070,0.000026,0.000096,0,240
1,0.000061,0.000022,0.000083,0,73
0,0.000068,0.000026,0.000094,0,373
1,0.000052,0.000020,0.000072,0,66
1,0.000061,0.000024,0.000085,0,98
1,0.000059,0.000024,0.000083,0,75
0,0.000064,0.000024,0.000088,0,286
1,0.000066,0.000026,0.000092,0,258
1,0.000077,0.000022,0.000099,0,69
1,0.000053,0.000022,0.000075,0,67
0,0.000060,0.000026,0.000086,0,488
1,0.000059,0.000023,0.000082,0,119
1,0.000059,0.000025,0.000084,0,63
0,0.000068,0.000025,0.000093,0,363
1,0.000051,0.000023,0.000074,0,84
1,0.000056,0.000022,0.000078,0,83
1,0.000063,0.000025,0.000088,0,125
0,0.000136,0.000036,0.000172,0,717
0,0.000055,0.000027,0.000082,0,464
0,0.000058,0.000023,0.000081,0,357
1,0.000056,0.000052,0.000108,0,65
0,0.000055,0.000025,0.000080,0,365
1,0.000057,0.000023,0.000080,0,76
0,0.000053,0.000024,0.000077,0,559
1,0.000064,0.000024,0.000088,0,113
1,0.000058,0.000022,0.000080,0,65
1,0.000110,0.000025,0.000135,0,121
1,0.000050,0.000021,0.000071,0,59
1,0.000047,0.000022,0.000069,0,64
0,0.000048,0.000023,0.000071,0,457
1,0.000059,0.000024,0.000083,0,71
1,0.000060,0.000022,0.000082,0,70
1,0.000060,0.000023,0.000083,0,111
1,0.000073,0.000025,0.000098,0,158
1,0.000119,0.000024,0.000143,0,104
1,0.000054,0.000023,0.000077,0,79
1,0.000057,0.000022,0.000079,0,69
1,0.000098,0.000025,0.000123,0,187
0,0.000059,0.000024,0.000083,0,361
1,0.000066,0.000023,0.000089,0,103
0,0.000062,0.000029,0.000091,0,528
1,0.000049,0.000022,0.000071,0,69
0,0.000059,0.000025,0.000084,0,468
1,0.000054,0.000023,0.000077,0,75
1,0.000067,0.000023,0.000090,0,73
1,0.000060,0.000024,0.000084,0,174
0,0.000054,0.000024,0.000078,0,281
1,0.000069,0.000025,0.000094,0,123
1,0.000053,0.000023,0.000076,0,71
1,0.000129,0.000047,0.000176,0,119
1,0.000061,0.000023,0.000084,0,68
1,0.000050,0.000022,0.000072,0,64
0,0.000057,0.000023,0.000080,0,265
0,0.000064,0.000023,0.000087,0,466
0,0.000090,0.000031,0.000121,0,615
1,0.000044,0.000022,0.000066,0,58
1,0.000055,0.000050,0.000105,0,100
1,0.000057,0.000024,0.000081,0,70
0,0.000060,0.000024,0.000084,0,271
1,0.000061,0.000023,0.000084,0,100
1,0.000050,0.000022,0.000072,0,68
1,0.000064,0.000023,0.000087,0,108
1,0.000057,0.000023,0.000080,0,72
1,0.000061,0.000024,0.000085,0,210
1,0.000058,0.000022,0.000080,0,68
1,0.000077,0.000030,0.000107,0,299
0,0.000078,0.000035,0.000113,0,710
0,0.000078,0.000035,0.000113,0,563
