feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
0,0.000434,0.003167,0.003601,0,5578
0,0.000503,0.003434,0.003937,0,3290
0,0.000510,0.003153,0.003663,0,7904
1,0.000475,0.003045,0.003520,0,874
1,0.000483,0.003086,0.003569,0,1068
1,0.000373,0.003074,0.003447,0,892
0,0.000478,0.003066,0.003544,0,3671
1,0.000424,0.003013,0.003437,0,876
0,0.000443,0.003331,0.003774,0,9470
1,0.000458,0.003238,0.003696,0,877
1,0.000557,0.003318,0.003875,0,944
1,0.000424,0.003071,0.003495,0,919
0,0.000396,0.003110,0.003506,0,4491
1,0.000574,0.003157,0.003731,0,5111
0,0.000464,0.003106,0.003570,0,3866
0,0.000549,0.003153,0.003702,0,5412
1,0.000507,0.003200,0.003707,0,991
0,0.000526,0.003815,0.004341,0,2700
0,0.000449,0.003132,0.003581,0,4604
1,0.000551,0.003398,0.003949,0,981
1,0.000444,0.003315,0.003759,0,883
1,0.000539,0.003103,0.003642,0,873
1,0.000475,0.003236,0.003711,0,885
1,0.000533,0.003139,0.003672,0,895
0,0.000434,0.003141,0.003575,0,6082
1,0.000479,0.003334,0.003813,0,894
1,0.000410,0.003045,0.003455,0,876
0,0.000490,0.003130,0.003620,0,6727
1,0.000473,0.003084,0.003557,0,879
0,0.000478,0.003170,0.003648,0,4994
0,0.000632,0.003571,0.004203,0,8547
1,0.000479,0.003509,0.003988,0,903
1,0.000519,0.003419,0.003938,0,888
0,0.000565,0.003642,0.004207,0,5418
0,0.000475,0.003058,0.003533,0,7933
1,0.000403,0.003057,0.003460,0,909
1,0.000556,0.003309,0.003865,0,917
1,0.000555,0.003263,0.003818,0,873
1,0.000529,0.003046,0.003575,0,905
1,0.000627,0.003582,0.004209,0,956
0,0.000490,0.003140,0.003630,0,4375
1,0.000567,0.003695,0.004262,0,892
1,0.000546,0.003571,0.004117,0,891
1,0.000504,0.003077,0.003581,0,892
1,0.000524,0.003355,0.003879,0,891
0,0.000468,0.003199,0.003667,0,2886
1,0.000579,0.003375,0.003954,0,984
0,0.000547,0.003137,0.003684,0,1900
0,0.000439,0.003063,0.003502,0,4716
1,0.000591,0.003181,0.003772,0,894
1,0.000463,0.003343,0.003806,0,938
0,0.000447,0.003066,0.003513,0,3864
1,0.000587,0.003074,0.003661,0,1072
1,0.000472,0.003411,0.003883,0,856
1,0.000417,0.003028,0.003445,0,863
1,0.000410,0.003026,0.003436,0,893
1,0.000436,0.003056,0.003492,0,881
1,0.000557,0.003084,0.003641,0,1177
1,0.000499,0.002999,0.003498,0,873
1,0.000474,0.003019,0.003493,0,873
1,0.000401,0.003235,0.003636,0,866
1,0.000462,0.003072,0.003534,0,887
1,0.000498,0.003351,0.003849,0,877
1,0.000473,0.003008,0.003481,0,882
0,0.000496,0.003180,0.003676,0,6966
1,0.000543,0.003286,0.003829,0,873
1,0.000538,0.003304,0.003842,0,893
1,0.000375,0.003011,0.003386,0,873
1,0.000505,0.003501,0.004006,0,877
0,0.000384,0.003019,0.003403,0,2870
1,0.000455,0.003025,0.003480,0,886
1,0.000523,0.003108,0.003631,0,883
0,0.000601,0.003356,0.003957,0,7378
0,0.000507,0.003483,0.003990,0,6930
0,0.000671,0.003177,0.003848,0,5741
1,0.000531,0.003282,0.003813,0,907
1,0.000472,0.003146,0.003618,0,894
1,0.000581,0.003412,0.003993,0,926
1,0.000432,0.003108,0.003540,0,940
1,0.000511,0.003416,0.003927,0,887
1,0.000566,0.003301,0.003867,0,1223
1,0.000567,0.003388,0.003955,0,895
1,0.000488,0.003145,0.003633,0,881
0,0.000446,0.003472,0.003918,0,6081
1,0.000553,0.003230,0.003783,0,866
1,0.000434,0.003140,0.003574,0,865
0,0.000458,0.003208,0.003666,0,5974
1,0.000390,0.003016,0.003406,0,863
1,0.000510,0.003139,0.003649,0,2606
1,0.000476,0.003114,0.003590,0,870
1,0.000523,0.003070,0.003593,0,994
1,0.000458,0.003060,0.003518,0,879
1,0.000455,0.003082,0.003537,0,924
0,0.000371,0.003037,0.003408,0,4735
1,0.000419,0.003345,0.003764,0,888
0,0.000526,0.003163,0.003689,0,5532
1,0.000448,0.003281,0.003729,0,881
0,0.000479,0.003586,0.004065,0,6676
0,0.000474,0.003196,0.003670,0,4193
1,0.000583,0.003231,0.003814,0,906
