feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000125,0.000126,0.000251,0,110
0,0.000145,0.000108,0.000253,0,398
1,0.000119,0.000104,0.000223,0,102
1,0.000124,0.000102,0.000226,0,105
0,0.000119,0.000112,0.000231,0,399
0,0.000146,0.000111,0.000257,0,584
0,0.000135,0.000132,0.000267,0,717
1,0.000128,0.000098,0.000226,0,107
1,0.000128,0.000106,0.000234,0,160
0,0.000115,0.000159,0.000274,0,403
1,0.000134,0.000104,0.000238,0,107
1,0.000244,0.000109,0.000353,0,106
0,0.000136,0.000115,0.000251,0,399
1,0.000117,0.000127,0.000244,0,107
0,0.000124,0.000105,0.000229,0,596
1,0.000191,0.000103,0.000294,0,109
0,0.000122,0.000126,0.000248,0,680
1,0.000150,0.000112,0.000262,0,106
0,0.000126,0.000097,0.000223,0,300
0,0.000155,0.000147,0.000302,0,559
1,0.000118,0.000095,0.000213,0,118
1,0.000115,0.000100,0.000215,0,104
1,0.000121,0.000113,0.000234,0,110
1,0.000133,0.000098,0.000231,0,111
0,0.000117,0.000156,0.000273,0,399
1,0.000112,0.000106,0.000218,0,106
1,0.000115,0.000102,0.000217,0,112
0,0.000129,0.000140,0.000269,0,684
1,0.000117,0.000108,0.000225,0,104
0,0.000163,0.000163,0.000326,0,382
0,0.000127,0.000113,0.000240,0,519
1,0.000148,0.000100,0.000248,0,104
1,0.000165,0.000100,0.000265,0,105
0,0.000126,0.000123,0.000249,0,482
1,0.000129,0.000109,0.000238,0,106
0,0.000113,0.000112,0.000225,0,498
1,0.000132,0.000094,0.000226,0,111
1,0.000135,0.000103,0.000238,0,107
1,0.000115,0.000107,0.000222,0,111
0,0.000132,0.000120,0.000252,0,526
1,0.000120,0.000107,0.000227,0,109
0,0.000123,0.000108,0.000231,0,299
0,0.000105,0.000103,0.000208,0,298
0,0.000138,0.000160,0.000298,0,563
0,0.000123,0.000112,0.000235,0,398
0,0.000140,0.000132,0.000272,0,642
0,0.000124,0.000104,0.000228,0,398
1,0.000109,0.000108,0.000217,0,103
1,0.000116,0.000114,0.000230,0,105
0,0.000114,0.000115,0.000229,0,548
1,0.000116,0.000112,0.000228,0,107
0,0.000118,0.000102,0.000220,0,398
0,0.000114,0.000111,0.000225,0,505
0,0.000138,0.000121,0.000259,0,414
1,0.000115,0.000149,0.000264,0,102
0,0.000146,0.000139,0.000285,0,595
1,0.000119,0.000107,0.000226,0,106
1,0.000111,0.000097,0.000208,0,104
1,0.000112,0.000111,0.000223,0,111
0,0.000122,0.000107,0.000229,0,519
0,0.000117,0.000112,0.000229,0,709
1,0.000145,0.000184,0.000329,0,108
1,0.000127,0.000092,0.000219,0,106
1,0.000115,0.000100,0.000215,0,109
1,0.000123,0.000115,0.000238,0,127
1,0.000121,0.000124,0.000245,0,494
1,0.000134,0.000113,0.000247,0,112
0,0.000112,0.000121,0.000233,0,436
1,0.000127,0.000110,0.000237,0,111
0,0.000120,0.000108,0.000228,0,534
0,0.000119,0.000103,0.000222,0,498
0,0.000111,0.000117,0.000228,0,467
1,0.000134,0.000114,0.000248,0,109
1,0.000126,0.000106,0.000232,0,105
0,0.000137,0.000110,0.000247,0,498
1,0.000134,0.000098,0.000232,0,105
0,0.000131,0.000117,0.000248,0,528
0,0.000107,0.000113,0.000220,0,398
1,0.000145,0.000111,0.000256,0,114
1,0.000113,0.000097,0.000210,0,107
1,0.000125,0.000100,0.000225,0,122
1,0.000132,0.000120,0.000252,0,115
1,0.000131,0.000119,0.000250,0,428
0,0.000127,0.000103,0.000230,0,497
0,0.000128,0.000121,0.000249,0,573
1,0.000124,0.000102,0.000226,0,102
0,0.000123,0.000141,0.000264,0,675
0,0.000127,0.000099,0.000226,0,300
0,0.000119,0.000115,0.000234,0,498
1,0.000121,0.000106,0.000227,0,106
0,0.000152,0.000112,0.000264,0,335
1,0.000123,0.000109,0.000232,0,110
0,0.000125,0.000117,0.000242,0,696
0,0.000120,0.000112,0.000232,0,399
1,0.000115,0.000111,0.000226,0,358
1,0.000114,0.000113,0.000227,0,107
0,0.000120,0.000103,0.000223,0,302
1,0.000133,0.000095,0.000228,0,109
1,0.000130,0.000105,0.000235,0,102
1,0.000132,0.000103,0.000235,0,104
