feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.001308,0.018179,0.019487,0,1008
1,0.001241,0.022207,0.023448,0,1009
1,0.001340,0.021782,0.023122,0,1018
1,0.001192,0.020050,0.021242,0,1011
1,0.001425,0.025202,0.026627,0,1008
1,0.001331,0.020652,0.021983,0,1019
0,0.001540,0.022516,0.024056,0,6277
1,0.001544,0.018814,0.020358,0,1007
1,0.001367,0.021919,0.023286,0,1006
1,0.001466,0.021539,0.023005,0,1202
0,0.001278,0.020393,0.021671,0,4998
0,0.001484,0.019000,0.020484,0,4904
1,0.001328,0.019831,0.021159,0,1006
1,0.001407,0.017973,0.019380,0,1014
1,0.001316,0.020937,0.022253,0,1009
1,0.001306,0.023409,0.024715,0,1008
1,0.001162,0.020836,0.021998,0,1017
0,0.001360,0.018844,0.020204,0,8079
1,0.001607,0.021199,0.022806,0,1012
0,0.001625,0.019144,0.020769,0,2035
1,0.001605,0.025255,0.026860,0,1011
0,0.001403,0.017599,0.019002,0,3998
0,0.001321,0.018430,0.019751,0,5047
0,0.001310,0.021067,0.022377,0,4367
1,0.001422,0.020865,0.022287,0,1014
0,0.001269,0.018084,0.019353,0,4999
0,0.001436,0.019750,0.021186,0,2015
0,0.001201,0.022079,0.023280,0,6074
1,0.001347,0.018376,0.019723,0,1010
1,0.001344,0.019573,0.020917,0,1018
1,0.001177,0.023255,0.024432,0,1005
0,0.001381,0.021957,0.023338,0,3052
0,0.001369,0.022184,0.023553,0,4829
1,0.001248,0.021620,0.022868,0,1347
1,0.001220,0.023368,0.024588,0,1014
1,0.001403,0.019895,0.021298,0,1018
0,0.001270,0.021734,0.023004,0,4381
1,0.001537,0.019499,0.021036,0,1014
1,0.001336,0.022301,0.023637,0,1008
1,0.001290,0.026012,0.027302,0,1005
0,0.001419,0.024723,0.026142,0,4898
0,0.001356,0.021792,0.023148,0,5606
1,0.001442,0.021995,0.023437,0,1009
0,0.001652,0.020834,0.022486,0,4037
1,0.001347,0.019693,0.021040,0,1004
0,0.001540,0.020249,0.021789,0,3996
0,0.001391,0.018464,0.019855,0,6372
0,0.001713,0.023924,0.025637,0,2144
1,0.001286,0.021473,0.022759,0,1013
1,0.001427,0.018093,0.019520,0,1017
0,0.001376,0.020529,0.021905,0,7630
0,0.001249,0.023275,0.024524,0,4815
1,0.001708,0.023339,0.025047,0,1026
1,0.001485,0.018537,0.020022,0,1012
1,0.001478,0.019391,0.020869,0,1021
1,0.001468,0.022991,0.024459,0,1017
1,0.001248,0.023853,0.025101,0,1004
1,0.001226,0.020422,0.021648,0,1010
1,0.001316,0.018164,0.019480,0,1006
1,0.001531,0.018580,0.020111,0,1007
1,0.001322,0.018085,0.019407,0,1011
1,0.001246,0.020078,0.021324,0,1014
1,0.001265,0.018672,0.019937,0,1012
0,0.001608,0.023248,0.024856,0,6662
1,0.001310,0.024485,0.025795,0,1012
1,0.001244,0.021649,0.022893,0,1016
1,0.001425,0.021115,0.022540,0,1012
1,0.001190,0.017683,0.018873,0,1005
1,0.001515,0.019988,0.021503,0,1015
1,0.001467,0.021874,0.023341,0,1016
1,0.001299,0.019153,0.020452,0,1015
1,0.001482,0.022555,0.024037,0,1020
1,0.001403,0.017875,0.019278,0,1022
0,0.001574,0.024082,0.025656,0,2515
1,0.001161,0.019450,0.020611,0,1022
0,0.001384,0.021124,0.022508,0,8346
1,0.001409,0.021796,0.023205,0,1041
1,0.001369,0.018043,0.019412,0,1011
1,0.001335,0.021161,0.022496,0,1011
0,0.001337,0.020644,0.021981,0,6016
1,0.001340,0.019881,0.021221,0,1011
0,0.001103,0.018731,0.019834,0,3501
0,0.001367,0.020896,0.022263,0,2112
1,0.001373,0.020025,0.021398,0,1016
1,0.001243,0.018567,0.019810,0,1008
1,0.001299,0.018591,0.019890,0,1010
1,0.001866,0.017954,0.019820,0,1004
0,0.001620,0.024989,0.026609,0,5662
1,0.001331,0.022044,0.023375,0,1028
1,0.001273,0.016206,0.017479,0,1035
0,0.001291,0.023317,0.024608,0,4100
1,0.001438,0.021553,0.022991,0,1012
1,0.001513,0.019064,0.020577,0,1022
1,0.001308,0.019186,0.020494,0,1067
0,0.001263,0.018605,0.019868,0,5404
0,0.001397,0.022766,0.024163,0,8220
0,0.001480,0.017482,0.018962,0,3002
1,0.001287,0.017786,0.019073,0,1008
1,0.001390,0.019871,0.021261,0,1019
0,0.001319,0.023166,0.024485,0,6292
