feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
0,0.000386,0.000585,0.000971,0,1259
0,0.000224,0.000535,0.000759,0,655
0,0.000243,0.000523,0.000766,0,1436
1,0.000286,0.000475,0.000761,0,227
1,0.000239,0.000484,0.000723,0,214
0,0.000225,0.000516,0.000741,0,430
1,0.000246,0.000521,0.000767,0,396
1,0.000245,0.000635,0.000880,0,206
1,0.000223,0.000476,0.000699,0,209
1,0.000296,0.000500,0.000796,0,208
1,0.000227,0.000474,0.000701,0,207
0,0.000271,0.000484,0.000755,0,798
0,0.000254,0.000489,0.000743,0,1025
0,0.000236,0.000533,0.000769,0,798
1,0.000581,0.000531,0.001112,0,913
1,0.000252,0.000503,0.000755,0,211
0,0.000264,0.000515,0.000779,0,452
0,0.000228,0.000490,0.000718,0,940
1,0.000253,0.000588,0.000841,0,208
1,0.000387,0.000467,0.000854,0,208
1,0.000230,0.000508,0.000738,0,443
1,0.000213,0.000484,0.000697,0,207
0,0.000250,0.000540,0.000790,0,1020
0,0.000214,0.000680,0.000894,0,599
0,0.000250,0.000493,0.000743,0,799
1,0.000240,0.000475,0.000715,0,208
1,0.000244,0.000669,0.000913,0,207
1,0.000236,0.000476,0.000712,0,203
1,0.000313,0.000677,0.000990,0,209
0,0.000236,0.000491,0.000727,0,1198
1,0.000247,0.000468,0.000715,0,206
1,0.000234,0.000483,0.000717,0,243
1,0.000225,0.000488,0.000713,0,210
1,0.000278,0.000486,0.000764,0,211
0,0.000234,0.000510,0.000744,0,879
1,0.000283,0.000467,0.000750,0,208
1,0.000307,0.000455,0.000762,0,209
1,0.000234,0.000464,0.000698,0,209
1,0.000232,0.000494,0.000726,0,642
1,0.000299,0.000534,0.000833,0,207
1,0.000225,0.000463,0.000688,0,210
0,0.000246,0.000480,0.000726,0,965
1,0.000238,0.000604,0.000842,0,219
1,0.000252,0.000472,0.000724,0,478
1,0.000245,0.000570,0.000815,0,412
0,0.000251,0.000486,0.000737,0,617
1,0.000267,0.000454,0.000721,0,207
0,0.000272,0.000573,0.000845,0,1792
0,0.000241,0.000558,0.000799,0,1579
1,0.000257,0.000483,0.000740,0,204
1,0.000214,0.000488,0.000702,0,208
0,0.000269,0.000504,0.000773,0,914
1,0.000237,0.000493,0.000730,0,339
0,0.000275,0.000543,0.000818,0,1350
1,0.000236,0.000515,0.000751,0,364
0,0.000257,0.000801,0.001058,0,1302
0,0.000277,0.000534,0.000811,0,1184
1,0.000296,0.000489,0.000785,0,211
1,0.000304,0.000476,0.000780,0,206
0,0.000254,0.000520,0.000774,0,1271
0,0.000275,0.000509,0.000784,0,998
1,0.000226,0.000498,0.000724,0,569
0,0.000247,0.000531,0.000778,0,838
0,0.000224,0.000517,0.000741,0,956
1,0.000271,0.000476,0.000747,0,205
0,0.000255,0.000518,0.000773,0,960
0,0.000235,0.000453,0.000688,0,795
1,0.000252,0.000497,0.000749,0,201
1,0.000242,0.000450,0.000692,0,214
1,0.000252,0.000626,0.000878,0,204
1,0.000228,0.000550,0.000778,0,209
1,0.000223,0.000498,0.000721,0,208
1,0.000237,0.000513,0.000750,0,202
1,0.000302,0.000481,0.000783,0,206
0,0.000432,0.000588,0.001020,0,965
1,0.000239,0.000498,0.000737,0,211
1,0.000288,0.000553,0.000841,0,223
1,0.000246,0.000473,0.000719,0,203
1,0.000231,0.000434,0.000665,0,207
0,0.000257,0.000569,0.000826,0,722
1,0.000257,0.000494,0.000751,0,214
0,0.000222,0.000505,0.000727,0,857
1,0.000268,0.000699,0.000967,0,808
1,0.000272,0.000484,0.000756,0,212
1,0.000246,0.000506,0.000752,0,207
1,0.000240,0.000489,0.000729,0,214
1,0.000250,0.000473,0.000723,0,206
0,0.000253,0.000508,0.000761,0,1184
1,0.000247,0.000499,0.000746,0,208
1,0.000248,0.000476,0.000724,0,206
1,0.000216,0.000507,0.000723,0,213
1,0.000284,0.000528,0.000812,0,212
1,0.000242,0.000480,0.000722,0,207
1,0.000236,0.000492,0.000728,0,214
0,0.000246,0.000484,0.000730,0,802
1,0.000226,0.000500,0.000726,0,204
0,0.000262,0.000481,0.000743,0,1004
1,0.000254,0.000590,0.000844,0,204
0,0.000283,0.000525,0.000808,0,850
1,0.000231,0.000497,0.000728,0,210
