feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.001129,0.003861,0.004990,0,104
1,0.001156,0.004530,0.005686,0,107
0,0.001141,0.004151,0.005292,0,381
0,0.001035,0.005189,0.006224,0,642
1,0.001157,0.003770,0.004927,0,102
0,0.001129,0.004241,0.005370,0,439
1,0.001073,0.003953,0.005026,0,109
1,0.001101,0.004018,0.005119,0,102
0,0.001160,0.003925,0.005085,0,468
1,0.001118,0.003944,0.005062,0,125
1,0.001117,0.003901,0.005018,0,105
1,0.001118,0.003811,0.004929,0,108
1,0.001064,0.003866,0.004930,0,102
1,0.001226,0.004294,0.005520,0,110
1,0.001095,0.003837,0.004932,0,105
1,0.001078,0.003916,0.004994,0,106
1,0.001114,0.004220,0.005334,0,107
1,0.001119,0.004366,0.005485,0,105
1,0.001108,0.003928,0.005036,0,107
0,0.001228,0.005583,0.006811,0,497
1,0.001100,0.004289,0.005389,0,115
1,0.001219,0.004065,0.005284,0,107
1,0.001138,0.005075,0.006213,0,109
1,0.001162,0.004075,0.005237,0,108
0,0.001396,0.004834,0.006230,0,518
1,0.001100,0.005320,0.006420,0,104
1,0.001110,0.003862,0.004972,0,105
1,0.001250,0.004719,0.005969,0,107
1,0.001352,0.004444,0.005796,0,112
1,0.001122,0.004055,0.005177,0,106
1,0.001022,0.003821,0.004843,0,103
1,0.001102,0.004032,0.005134,0,104
0,0.001145,0.004537,0.005682,0,483
1,0.001089,0.003956,0.005045,0,117
0,0.001203,0.004686,0.005889,0,397
1,0.001087,0.004731,0.005818,0,104
1,0.001082,0.003755,0.004837,0,107
1,0.001111,0.004829,0.005940,0,102
0,0.001433,0.004529,0.005962,0,399
1,0.001365,0.004413,0.005778,0,110
1,0.001053,0.003730,0.004783,0,103
1,0.001083,0.003726,0.004809,0,107
1,0.001152,0.003828,0.004980,0,102
1,0.001031,0.005365,0.006396,0,421
1,0.001418,0.004017,0.005435,0,106
1,0.001164,0.003977,0.005141,0,107
1,0.001108,0.003798,0.004906,0,106
1,0.001130,0.004132,0.005262,0,109
1,0.001124,0.004164,0.005288,0,104
1,0.001097,0.003733,0.004830,0,113
1,0.001065,0.003722,0.004787,0,110
1,0.001145,0.005254,0.006399,0,103
1,0.001246,0.004667,0.005913,0,106
1,0.001154,0.004617,0.005771,0,102
1,0.001077,0.004125,0.005202,0,108
1,0.001159,0.004242,0.005401,0,117
1,0.001096,0.004976,0.006072,0,110
1,0.001095,0.004090,0.005185,0,103
1,0.001161,0.004210,0.005371,0,106
1,0.001291,0.004516,0.005807,0,113
1,0.001061,0.003791,0.004852,0,101
1,0.001073,0.003722,0.004795,0,112
1,0.001066,0.003946,0.005012,0,106
1,0.001082,0.004047,0.005129,0,105
1,0.001110,0.003747,0.004857,0,108
1,0.001139,0.003815,0.004954,0,103
1,0.001346,0.004664,0.006010,0,107
1,0.001075,0.004228,0.005303,0,111
1,0.001146,0.003951,0.005097,0,114
1,0.001169,0.003716,0.004885,0,107
1,0.001119,0.004673,0.005792,0,103
1,0.001109,0.003957,0.005066,0,107
1,0.001151,0.003968,0.005119,0,102
0,0.001131,0.004793,0.005924,0,383
1,0.001127,0.004009,0.005136,0,107
1,0.001611,0.004693,0.006304,0,105
0,0.001181,0.004249,0.005430,0,539
1,0.001113,0.003970,0.005083,0,110
1,0.001495,0.004851,0.006346,0,114
1,0.001196,0.004100,0.005296,0,103
1,0.001103,0.004664,0.005767,0,105
1,0.001278,0.004379,0.005657,0,105
1,0.001230,0.004774,0.006004,0,104
1,0.001157,0.004666,0.005823,0,109
1,0.001130,0.004084,0.005214,0,107
0,0.001040,0.004147,0.005187,0,513
1,0.001112,0.005195,0.006307,0,106
1,0.001308,0.004653,0.005961,0,111
0,0.001455,0.005313,0.006768,0,398
1,0.001119,0.004088,0.005207,0,104
1,0.001084,0.003805,0.004889,0,106
1,0.001069,0.003946,0.005015,0,105
1,0.001104,0.004740,0.005844,0,103
1,0.001081,0.003888,0.004969,0,113
1,0.001078,0.004316,0.005394,0,104
1,0.001328,0.004417,0.005745,0,102
1,0.001071,0.003928,0.004999,0,107
1,0.001029,0.003892,0.004921,0,164
1,0.001543,0.004200,0.005743,0,113
1,0.001075,0.003809,0.004884,0,106
