feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000117,0.000114,0.000231,0,178
1,0.000127,0.000117,0.000244,0,183
1,0.000145,0.000130,0.000275,0,535
0,0.000127,0.000125,0.000252,0,808
0,0.000129,0.000121,0.000250,0,587
1,0.000108,0.000117,0.000225,0,183
0,0.000275,0.000142,0.000417,0,1010
1,0.000142,0.000122,0.000264,0,229
0,0.000118,0.000123,0.000241,0,1367
0,0.000146,0.000149,0.000295,0,1398
0,0.000118,0.000121,0.000239,0,599
1,0.000098,0.000117,0.000215,0,181
0,0.000114,0.000124,0.000238,0,974
1,0.000108,0.000115,0.000223,0,179
1,0.000116,0.000115,0.000231,0,180
1,0.000129,0.000121,0.000250,0,315
1,0.000116,0.000140,0.000256,0,204
1,0.000109,0.000118,0.000227,0,186
1,0.000104,0.000114,0.000218,0,178
1,0.000118,0.000119,0.000237,0,182
1,0.000150,0.000125,0.000275,0,431
0,0.000130,0.000133,0.000263,0,1201
1,0.000120,0.000171,0.000291,0,174
1,0.000119,0.000173,0.000292,0,222
0,0.000109,0.000122,0.000231,0,763
1,0.000125,0.000128,0.000253,0,1184
1,0.000125,0.000116,0.000241,0,179
1,0.000112,0.000116,0.000228,0,176
1,0.000109,0.000120,0.000229,0,188
0,0.000108,0.000138,0.000246,0,741
0,0.000126,0.000153,0.000279,0,1162
1,0.000109,0.000117,0.000226,0,187
1,0.000120,0.000116,0.000236,0,181
1,0.000184,0.000118,0.000302,0,173
0,0.000141,0.000122,0.000263,0,483
1,0.000121,0.000120,0.000241,0,220
0,0.000123,0.000126,0.000249,0,816
1,0.000127,0.000119,0.000246,0,185
0,0.000121,0.000120,0.000241,0,571
1,0.000102,0.000117,0.000219,0,174
0,0.000111,0.000120,0.000231,0,785
1,0.000106,0.000115,0.000221,0,180
1,0.000099,0.000116,0.000215,0,179
1,0.000175,0.000118,0.000293,0,182
1,0.000161,0.000123,0.000284,0,237
1,0.000111,0.000119,0.000230,0,191
1,0.000119,0.000118,0.000237,0,177
0,0.000135,0.000124,0.000259,0,897
1,0.000112,0.000115,0.000227,0,178
1,0.000135,0.000117,0.000252,0,193
1,0.000142,0.000123,0.000265,0,376
0,0.000121,0.000126,0.000247,0,1046
0,0.000122,0.000127,0.000249,0,968
1,0.000124,0.000307,0.000431,0,272
1,0.000096,0.000116,0.000212,0,173
1,0.000143,0.000117,0.000260,0,189
1,0.000111,0.000117,0.000228,0,178
0,0.000146,0.000145,0.000291,0,1284
1,0.000104,0.000114,0.000218,0,178
1,0.000110,0.000120,0.000230,0,371
0,0.000154,0.000160,0.000314,0,1416
1,0.000142,0.000120,0.000262,0,174
1,0.000127,0.000118,0.000245,0,189
1,0.000144,0.000121,0.000265,0,215
1,0.000125,0.000119,0.000244,0,220
1,0.000099,0.000116,0.000215,0,179
1,0.000111,0.000115,0.000226,0,174
1,0.000130,0.000117,0.000247,0,183
1,0.000113,0.000117,0.000230,0,187
0,0.000207,0.000145,0.000352,0,770
0,0.000138,0.000143,0.000281,0,1280
1,0.000104,0.000117,0.000221,0,172
0,0.000133,0.000131,0.000264,0,1328
1,0.000106,0.000117,0.000223,0,183
1,0.000106,0.000192,0.000298,0,181
0,0.000116,0.000122,0.000238,0,973
1,0.000133,0.000118,0.000251,0,265
0,0.000125,0.000124,0.000249,0,837
1,0.000125,0.000132,0.000257,0,943
1,0.000112,0.000116,0.000228,0,170
1,0.000109,0.000116,0.000225,0,184
0,0.000162,0.000135,0.000297,0,770
1,0.000103,0.000118,0.000221,0,180
1,0.000096,0.000115,0.000211,0,179
0,0.000114,0.000122,0.000236,0,783
1,0.000133,0.000118,0.000251,0,178
1,0.000118,0.000118,0.000236,0,181
0,0.000114,0.000123,0.000237,0,827
1,0.000122,0.000117,0.000239,0,194
1,0.000136,0.000119,0.000255,0,190
0,0.000162,0.000141,0.000303,0,1189
1,0.000123,0.000121,0.000244,0,294
0,0.000141,0.000126,0.000267,0,438
1,0.000115,0.000119,0.000234,0,248
1,0.000123,0.000121,0.000244,0,188
0,0.000124,0.000122,0.000246,0,1169
1,0.000095,0.000118,0.000213,0,179
1,0.000110,0.000118,0.000228,0,182
1,0.000126,0.000119,0.000245,0,190
1,0.000122,0.000118,0.000240,0,183
