feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000100,0.000127,0.000227,0,131
0,0.000121,0.000084,0.000205,0,369
0,0.000106,0.000086,0.000192,0,879
0,0.000130,0.000101,0.000231,0,1351
1,0.000099,0.000079,0.000178,0,146
1,0.000083,0.000082,0.000165,0,248
0,0.000088,0.000082,0.000170,0,868
1,0.000097,0.000075,0.000172,0,123
0,0.000099,0.000087,0.000186,0,799
1,0.000116,0.000097,0.000213,0,1102
1,0.000101,0.000078,0.000179,0,146
1,0.000104,0.000150,0.000254,0,161
1,0.000092,0.000078,0.000170,0,160
1,0.000106,0.000077,0.000183,0,136
1,0.000084,0.000079,0.000163,0,131
1,0.000077,0.000076,0.000153,0,130
1,0.000085,0.000076,0.000161,0,130
1,0.000099,0.000083,0.000182,0,141
1,0.000111,0.000079,0.000190,0,134
1,0.000092,0.000076,0.000168,0,126
1,0.000092,0.000085,0.000177,0,195
1,0.000082,0.000082,0.000164,0,139
1,0.000078,0.000077,0.000155,0,133
1,0.000088,0.000083,0.000171,0,161
1,0.000092,0.000081,0.000173,0,417
1,0.000091,0.000077,0.000168,0,128
0,0.000104,0.000094,0.000198,0,1059
0,0.000089,0.000136,0.000225,0,668
1,0.000090,0.000078,0.000168,0,147
1,0.000080,0.000078,0.000158,0,142
1,0.000096,0.000077,0.000173,0,134
0,0.000096,0.000082,0.000178,0,634
1,0.000090,0.000078,0.000168,0,134
1,0.000099,0.000079,0.000178,0,149
1,0.000090,0.000073,0.000163,0,135
1,0.000109,0.000079,0.000188,0,157
0,0.000099,0.000081,0.000180,0,584
0,0.000090,0.000081,0.000171,0,920
1,0.000260,0.000078,0.000338,0,134
1,0.000091,0.000078,0.000169,0,165
0,0.000092,0.000084,0.000176,0,723
0,0.000093,0.000083,0.000176,0,919
0,0.000105,0.000083,0.000188,0,732
0,0.000102,0.000087,0.000189,0,1331
0,0.000099,0.000079,0.000178,0,724
0,0.000073,0.000077,0.000150,0,524
1,0.000092,0.000076,0.000168,0,131
1,0.000101,0.000080,0.000181,0,155
0,0.000075,0.000084,0.000159,0,904
1,0.000085,0.000078,0.000163,0,127
0,0.000101,0.000113,0.000214,0,577
1,0.000096,0.000081,0.000177,0,318
0,0.000095,0.000085,0.000180,0,691
0,0.000091,0.000085,0.000176,0,534
0,0.000128,0.000139,0.000267,0,1461
1,0.000088,0.000077,0.000165,0,127
1,0.000105,0.000089,0.000194,0,665
1,0.000088,0.000077,0.000165,0,136
1,0.000108,0.000078,0.000186,0,138
1,0.000104,0.000179,0.000283,0,152
1,0.000085,0.000078,0.000163,0,141
1,0.000096,0.000077,0.000173,0,135
1,0.000091,0.000079,0.000170,0,236
1,0.000092,0.000075,0.000167,0,128
1,0.000115,0.000079,0.000194,0,147
1,0.000097,0.000078,0.000175,0,161
1,0.000082,0.000077,0.000159,0,135
1,0.000106,0.000079,0.000185,0,174
1,0.000081,0.000075,0.000156,0,126
1,0.000095,0.000081,0.000176,0,126
1,0.000131,0.000077,0.000208,0,128
1,0.000094,0.000080,0.000174,0,149
0,0.000095,0.000082,0.000177,0,1123
1,0.000103,0.000078,0.000181,0,132
1,0.000096,0.000085,0.000181,0,656
1,0.000098,0.000078,0.000176,0,148
1,0.000079,0.000077,0.000156,0,135
0,0.000090,0.000080,0.000170,0,735
0,0.000093,0.000084,0.000177,0,954
1,0.000090,0.000080,0.000170,0,130
1,0.000087,0.000077,0.000164,0,142
0,0.000116,0.000096,0.000212,0,1090
1,0.000077,0.000079,0.000156,0,153
0,0.000117,0.000097,0.000214,0,1354
1,0.000097,0.000082,0.000179,0,201
1,0.000095,0.000078,0.000173,0,137
1,0.000082,0.000080,0.000162,0,126
1,0.000094,0.000082,0.000176,0,180
1,0.000091,0.000082,0.000173,0,222
1,0.000081,0.000080,0.000161,0,121
0,0.000081,0.000079,0.000160,0,720
1,0.000085,0.000077,0.000162,0,127
0,0.000097,0.000080,0.000177,0,524
1,0.000095,0.000077,0.000172,0,141
1,0.000089,0.000078,0.000167,0,134
1,0.000132,0.000078,0.000210,0,135
0,0.000098,0.000091,0.000189,0,1000
1,0.000087,0.000075,0.000162,0,172
1,0.000105,0.000079,0.000184,0,152
1,0.000087,0.000087,0.000174,0,130
