feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
0,0.000607,0.007472,0.008079,0,6262
1,0.000776,0.006529,0.007305,0,999
1,0.000703,0.006262,0.006965,0,994
0,0.000806,0.006892,0.007698,0,5886
1,0.000900,0.007131,0.008031,0,1100
1,0.000579,0.006518,0.007097,0,1007
1,0.000919,0.007074,0.007993,0,1077
1,0.000674,0.006486,0.007160,0,1320
1,0.000699,0.007098,0.007797,0,987
1,0.000629,0.006476,0.007105,0,1010
1,0.000833,0.007145,0.007978,0,999
0,0.000757,0.007537,0.008294,0,5260
0,0.000811,0.007541,0.008352,0,4691
0,0.000650,0.006968,0.007618,0,4715
1,0.000577,0.006731,0.007308,0,993
0,0.001082,0.007324,0.008406,0,3055
0,0.000788,0.006672,0.007460,0,6216
1,0.000863,0.006603,0.007466,0,1194
1,0.000935,0.007409,0.008344,0,1542
0,0.000721,0.006527,0.007248,0,2027
1,0.000802,0.007173,0.007975,0,1518
1,0.000713,0.006517,0.007230,0,1216
1,0.000879,0.007396,0.008275,0,1003
1,0.000740,0.006766,0.007506,0,1004
1,0.000883,0.007103,0.007986,0,1001
1,0.000821,0.006782,0.007603,0,1004
0,0.000639,0.006812,0.007451,0,4834
1,0.000827,0.006843,0.007670,0,1006
0,0.000717,0.006305,0.007022,0,6271
1,0.000833,0.007405,0.008238,0,4103
1,0.000787,0.006526,0.007313,0,2854
0,0.000861,0.007330,0.008191,0,7751
1,0.000964,0.006966,0.007930,0,3829
1,0.000684,0.006333,0.007017,0,998
0,0.000729,0.007350,0.008079,0,4029
1,0.000760,0.006356,0.007116,0,1005
0,0.000944,0.007619,0.008563,0,4518
1,0.000830,0.006696,0.007526,0,1004
0,0.000825,0.007278,0.008103,0,5219
1,0.000657,0.007328,0.007985,0,999
0,0.000799,0.006609,0.007408,0,6646
1,0.000746,0.006658,0.007404,0,996
0,0.000732,0.006440,0.007172,0,4260
0,0.000738,0.007079,0.007817,0,5675
1,0.000831,0.006890,0.007721,0,1008
1,0.000755,0.006892,0.007647,0,1009
1,0.000550,0.006195,0.006745,0,995
0,0.000709,0.006445,0.007154,0,6516
1,0.000841,0.007113,0.007954,0,1949
1,0.000822,0.007386,0.008208,0,1007
0,0.000710,0.007187,0.007897,0,3511
1,0.000835,0.006329,0.007164,0,1200
1,0.000807,0.006771,0.007578,0,998
1,0.000780,0.006470,0.007250,0,1000
1,0.000992,0.006874,0.007866,0,1137
1,0.000773,0.007090,0.007863,0,997
1,0.000749,0.006539,0.007288,0,1006
1,0.000793,0.007180,0.007973,0,2428
1,0.000762,0.006863,0.007625,0,1004
1,0.000979,0.007143,0.008122,0,1321
1,0.000734,0.006688,0.007422,0,1014
0,0.000712,0.007472,0.008184,0,6166
1,0.000799,0.006533,0.007332,0,5122
1,0.000876,0.007131,0.008007,0,4769
1,0.000777,0.006546,0.007323,0,1006
1,0.000822,0.006844,0.007666,0,998
1,0.000720,0.006305,0.007025,0,1000
1,0.000715,0.006815,0.007530,0,1010
0,0.001150,0.007058,0.008208,0,6620
1,0.000668,0.006276,0.006944,0,1009
1,0.000765,0.007175,0.007940,0,1565
0,0.000712,0.007266,0.007978,0,5592
1,0.000757,0.006435,0.007192,0,999
0,0.000701,0.006816,0.007517,0,5488
1,0.000673,0.007066,0.007739,0,1025
0,0.000725,0.006649,0.007374,0,2993
0,0.000645,0.007288,0.007933,0,4981
1,0.000770,0.006355,0.007125,0,1380
1,0.000565,0.006478,0.007043,0,996
1,0.000637,0.006913,0.007550,0,1000
0,0.000828,0.007100,0.007928,0,6285
1,0.000786,0.006224,0.007010,0,1008
0,0.000859,0.006815,0.007674,0,3925
1,0.000802,0.006350,0.007152,0,1014
0,0.000748,0.007457,0.008205,0,6201
0,0.000803,0.006482,0.007285,0,2263
0,0.000828,0.007134,0.007962,0,6491
1,0.000769,0.007095,0.007864,0,1000
1,0.000749,0.007037,0.007786,0,995
1,0.000780,0.006543,0.007323,0,995
0,0.000861,0.006559,0.007420,0,6523
1,0.000692,0.006667,0.007359,0,1196
0,0.000754,0.006803,0.007557,0,5467
1,0.000769,0.006219,0.006988,0,1000
0,0.000698,0.007160,0.007858,0,6990
1,0.000683,0.007267,0.007950,0,1000
0,0.000864,0.006672,0.007536,0,3992
1,0.000690,0.006861,0.007551,0,1010
1,0.000746,0.006449,0.007195,0,1003
1,0.000679,0.006387,0.007066,0,999
