feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000128,0.000118,0.000246,0,192
1,0.000107,0.000121,0.000228,0,185
1,0.000103,0.000116,0.000219,0,181
1,0.000116,0.000118,0.000234,0,187
1,0.000127,0.000115,0.000242,0,181
1,0.000113,0.000117,0.000230,0,182
1,0.000109,0.000116,0.000225,0,213
1,0.000096,0.000115,0.000211,0,180
1,0.000091,0.000116,0.000207,0,176
1,0.000127,0.000119,0.000246,0,251
1,0.000122,0.000117,0.000239,0,188
1,0.000097,0.000117,0.000214,0,178
1,0.000112,0.000116,0.000228,0,172
1,0.000125,0.000117,0.000242,0,178
1,0.000121,0.000119,0.000240,0,193
1,0.000100,0.000117,0.000217,0,173
1,0.000119,0.000120,0.000239,0,197
1,0.000117,0.000116,0.000233,0,193
1,0.000113,0.000116,0.000229,0,175
1,0.000085,0.000116,0.000201,0,170
0,0.000142,0.000143,0.000285,0,1172
0,0.000162,0.000133,0.000295,0,1012
0,0.000160,0.000125,0.000285,0,900
0,0.000115,0.000133,0.000248,0,817
0,0.000186,0.000131,0.000317,0,1536
0,0.000107,0.000140,0.000247,0,1230
0,0.000119,0.000139,0.000258,0,1170
0,0.000202,0.000123,0.000325,0,627
0,0.000108,0.000120,0.000228,0,703
0,0.000115,0.000124,0.000239,0,956
0,0.000122,0.000131,0.000253,0,1004
0,0.000116,0.000126,0.000242,0,911
0,0.000103,0.000126,0.000229,0,1324
0,0.000127,0.000141,0.000268,0,1244
0,0.000119,0.000131,0.000250,0,692
0,0.000112,0.000130,0.000242,0,1275
0,0.000126,0.000140,0.000266,0,1255
0,0.000099,0.000124,0.000223,0,1359
0,0.000119,0.000169,0.000288,0,834
0,0.000115,0.000127,0.000242,0,820
