feasible,beginning_to_start,start_to_solution,total,zero_solution,lifts
1,0.000270,0.000785,0.001055,0,441
1,0.000239,0.000758,0.000997,0,513
1,0.000277,0.000766,0.001043,0,661
1,0.000279,0.000757,0.001036,0,444
1,0.000230,0.000775,0.001005,0,448
1,0.000250,0.000764,0.001014,0,462
1,0.000246,0.000760,0.001006,0,483
1,0.000313,0.000917,0.001230,0,4346
1,0.000244,0.000764,0.001008,0,453
1,0.000290,0.000758,0.001048,0,545
1,0.000216,0.000778,0.000994,0,436
1,0.000285,0.000763,0.001048,0,457
1,0.000203,0.000756,0.000959,0,440
1,0.000211,0.000751,0.000962,0,445
1,0.000259,0.000755,0.001014,0,442
1,0.000248,0.000757,0.001005,0,470
1,0.000260,0.000760,0.001020,0,460
1,0.000219,0.000760,0.000979,0,443
1,0.000181,0.000766,0.000947,0,443
0,0.000332,0.000831,0.001163,0,2692
0,0.000280,0.000870,0.001150,0,4220
0,0.000279,0.000777,0.001056,0,2166
0,0.000248,0.000792,0.001040,0,2683
0,0.000264,0.000805,0.001069,0,2569
0,0.000301,0.000811,0.001112,0,2237
0,0.000285,0.000829,0.001114,0,2860
0,0.000250,0.000781,0.001031,0,2014
0,0.000297,0.000834,0.001131,0,3433
0,0.000235,0.000795,0.001030,0,3079
0,0.000248,0.000808,0.001056,0,2855
0,0.000247,0.000768,0.001015,0,1430
0,0.000280,0.000905,0.001185,0,3289
0,0.000240,0.000758,0.000998,0,1440
0,0.000241,0.000807,0.001048,0,2619
0,0.000255,0.000811,0.001066,0,3007
0,0.000249,0.000818,0.001067,0,3656
0,0.000263,0.000790,0.001053,0,2445
0,0.000213,0.000807,0.001020,0,1437
0,0.000211,0.000797,0.001008,0,4174
0,0.000252,0.000773,0.001025,0,1751
